gene-Y11_RS15155	1392	701	819	1102	1043	840	896	1062	1081	804	host	gene-Y11_RS15155
gene-Y11_RS10245	2918	2724	2864	3407	3215	2523	2258	2462	1734	1778	host	emrB
gene-Y11_RS14095	2181	1553	1686	2167	2525	1975	2374	2551	2331	2199	host	pstB
gene-Y11_RS02470	1574	1679	1894	2523	2752	2229	2765	2843	2455	2296	host	pabC
gene-Y11_RS13225	1345	708	917	1469	1814	1376	1412	1734	1593	1578	host	gene-Y11_RS13225
gene-Y11_RS06230	42	40	48	30	48	36	30	24	35	23	host	gene-Y11_RS06230
gene-Y11_RS15530	223303	194863	224494	295579	337974	268428	222048	254693	178141	183272	host	rplV
gene-Y11_RS10940	30346	28387	30157	34983	34741	25707	25955	27305	21401	22736	host	metK
gene-Y11_RS10845	729	353	692	626	994	734	834	756	769	636	host	gene-Y11_RS10845
gene-Y11_RS13240	668	222	308	507	566	497	726	779	790	652	host	gene-Y11_RS13240
gene-Y11_RS17410	14425	9936	12956	17943	20859	16670	16622	15662	14087	11623	host	greA
gene-Y11_RS05395	1753	1285	1290	1318	1292	919	842	979	810	770	host	gene-Y11_RS05395
gene-Y11_RS15660	3409	2823	2939	3245	2968	2863	2570	2879	2720	2289	host	mscL
gene-Y11_RS00565	1544	935	1029	1139	1084	686	600	727	612	458	host	gene-Y11_RS00565
gene-Y11_RS20550	3780	2793	3009	3909	3892	3058	2728	2725	2088	2261	host	srlD
gene-Y11_RS05265	1000	720	791	1040	1315	985	1048	1149	940	927	host	gene-Y11_RS05265
gene-Y11_RS19640	4103	4063	3961	4042	3793	3162	2547	3263	2414	2477	host	tsaA
gene-g026	1	2521	4946	10217	10292	10452	10473	9648	7345	7839	phage	g026
gene-Y11_RS17845	2719	1250	1469	1838	2254	1261	1840	1944	1702	1476	host	gene-Y11_RS17845
gene-Y11_RS07150	206	57	68	107	184	87	168	238	307	164	host	gene-Y11_RS07150
gene-Y11_RS00130	4866	3651	4698	5347	5696	4186	3783	3984	2892	2518	host	gene-Y11_RS00130
gene-g175	1	977	1715	3849	4052	4800	6023	7117	7341	11150	phage	g175
gene-Y11_RS05775	102	49	76	95	131	106	108	180	118	183	host	gene-Y11_RS05775
gene-Y11_RS10450	57464	49217	56003	56230	59783	43028	35669	36783	25713	23636	host	alaS
gene-Y11_RS19360	10053	6809	6963	7059	6636	4578	4415	4586	3929	3509	host	recC
gene-Y11_RS14165	587	197	302	481	652	443	609	842	746	544	host	gene-Y11_RS14165
gene-g096	2	2446	3860	12028	15086	16683	21772	26068	20362	31426	phage	g096
gene-Y11_RS17255	74533	70138	72631	97173	103788	66750	64643	62609	42449	38425	host	rplI
gene-Y11_RS00495	1304	938	937	1541	1659	1252	1267	1333	1297	997	host	gene-Y11_RS00495
gene-Y11_RS09690	40235	40177	46219	48796	46190	34995	30732	30127	21186	21085	host	cyoA
gene-Y11_RS08095	5752	3618	4233	5152	5332	3841	3827	3695	2861	3120	host	fghA
gene-Y11_RS18750	23931	20014	22645	27016	27537	21469	19725	19493	13508	13069	host	speE
gene-Y11_RS03415	1974	1857	2613	3939	5303	4761	3817	5043	3287	3825	host	gene-Y11_RS03415
gene-Y11_RS13250	1439	527	822	1441	1686	1354	1703	2209	2190	1660	host	gene-Y11_RS13250
gene-Y11_RS07525	441	242	312	204	362	209	195	241	180	184	host	cbiD
gene-Y11_RS13030	20416	17919	18811	18587	19040	13927	12169	12993	8938	8790	host	plsB
gene-Y11_RS15040	2166	885	975	1205	1385	1108	1050	1495	1281	1021	host	glgB
gene-Y11_RS10035	8400	6186	6735	6957	7139	4689	3838	3899	3429	2725	host	ddlA
gene-Y11_RS12555	68968	54701	62877	61180	53114	37397	29477	28821	20046	16269	host	treC
gene-Y11_RS08505	1953	789	843	995	897	641	716	833	861	720	host	gene-Y11_RS08505
gene-Y11_RS10000	7732	6359	7269	7967	8004	6195	5132	5417	4047	4021	host	frsA
gene-Y11_RS18625	31511	29584	33010	37506	34313	25633	22185	21439	16465	16559	host	secA
gene-Y11_RS15760	1461	911	1369	1489	1574	1343	1161	1677	1274	1313	host	ytfT
gene-Y11_RS17855	456	181	209	390	483	313	385	448	336	319	host	lsrG
gene-Y11_RS19960	1751	975	1161	1517	1846	1499	1770	1906	1542	1290	host	kch
gene-Y11_RS03005	3068	1589	1751	1807	1929	1111	1253	1323	1049	874	host	pip
gene-Y11_RS09685	16379	20964	20696	22128	21289	15459	13859	12152	10148	7953	host	gene-Y11_RS09685
gene-Y11_RS17515	650	226	246	572	719	584	772	888	943	643	host	gene-Y11_RS17515
gene-Y11_RS14655	3582	2116	2024	1933	1869	1526	1559	1700	1553	1581	host	uhpB
gene-Y11_RS19475	4417	3351	3305	3795	3814	2553	2678	3167	2354	2085	host	truC
gene-Y11_RS09330	1670	1558	1766	2869	3249	2461	2593	2863	2200	1791	host	gene-Y11_RS09330
gene-Y11_RS07745	4029	2582	2969	3400	3305	2656	2455	2525	2020	2250	host	hisD
gene-Y11_RS03915	11966	6546	8311	11195	13399	10133	10900	10600	9236	7656	host	rovA
gene-Y11_RS01815	11538	8639	10314	9995	9270	6797	5974	5966	4787	4382	host	macB
gene-Y11_RS15525	346853	256287	287512	358373	403427	349106	329280	371219	271015	286995	host	rpsS
gene-Y11_RS08775	2544	1962	2670	3421	3859	2763	3090	2727	1753	1942	host	pxpA
gene-Y11_RS06290	3	1	2	3	3	2	1	3	2	1	host	gene-Y11_RS06290
gene-Y11_RS02050	2006	1699	1948	2333	3020	2133	2233	2373	1965	1832	host	gene-Y11_RS02050
gene-Y11_RS17880	705	206	221	359	499	421	508	723	575	487	host	lsrA
gene-Y11_RS07940	1592	796	694	668	752	540	604	675	463	719	host	gene-Y11_RS07940
gene-Y11_RS19470	3138	2253	2258	2804	2669	2034	2246	2181	1825	1719	host	gene-Y11_RS19470
gene-Y11_RS00970	1678	1159	1247	1899	2223	1712	1850	1865	1543	1416	host	gene-Y11_RS00970
gene-Y11_RS02360	217	102	83	114	148	122	128	257	132	99	host	ttrC
gene-Y11_RS09290	732	649	581	650	648	471	468	501	391	442	host	purE
gene-Y11_RS19560	23177	18592	19245	19340	18784	12012	10868	10560	9419	8403	host	fabZ
gene-Y11_RS18060	2266	1720	1667	1927	2079	1467	1501	1657	1253	1257	host	rimI
gene-Y11_RS09775	7015	10180	10574	11310	9980	7210	5960	5844	4875	4972	host	ribE
gene-Y11_RS15390	474	364	485	617	670	559	583	865	858	1411	host	tauB
gene-Y11_RS02005	1085	278	293	369	457	362	450	548	541	401	host	gene-Y11_RS02005
gene-Y11_RS02135	4513	8721	9484	9581	9566	5931	5056	5627	4274	4176	host	fabA
gene-Y11_RS02450	36634	38272	43929	54454	53748	41325	34593	32466	25142	26197	host	fabD
gene-Y11_RS00425	447	145	246	502	1196	1059	1819	2210	2405	1986	host	gene-Y11_RS00425
gene-Y11_RS00730	1855	2194	2276	2255	2177	1785	1501	1386	1217	1118	host	gene-Y11_RS00730
gene-Y11_RS06685	787	359	468	599	608	320	326	463	462	323	host	flgL
gene-Y11_RS04465	213	81	124	166	219	145	272	231	222	153	host	gene-Y11_RS04465
gene-Y11_RS05920	2202	1195	1513	1989	2203	1701	1937	2349	1868	1967	host	gene-Y11_RS05920
gene-Y11_RS14110	7227	6547	7694	6891	6789	4776	5094	6619	6874	9873	host	gene-Y11_RS14110
gene-Y11_RS14570	393	137	148	288	428	361	513	542	513	458	host	gene-Y11_RS14570
gene-Y11_RS09405	3155	2111	3616	3527	3407	2154	1661	1759	1524	1128	host	gene-Y11_RS09405
gene-Y11_RS18890	2316	2002	2214	2193	2368	1508	1446	1680	1132	1206	host	mtnN
gene-Y11_RS07955	1430	492	452	456	461	422	363	443	466	529	host	gene-Y11_RS07955
gene-Y11_RS06730	647	432	527	563	608	407	342	447	369	296	host	flgC
gene-Y11_RS03395	5475	4981	5539	5979	5979	4195	4368	4358	3399	2924	host	gene-Y11_RS03395
gene-Y11_RS05605	648	309	410	430	451	337	323	489	308	322	host	gene-Y11_RS05605
gene-Y11_RS23340	1253	685	734	825	750	543	490	590	409	408	host	gene-Y11_RS23340
gene-Y11_RS17895	9084	7864	6552	6141	5373	3842	4189	4378	3741	3889	host	rfaQ
gene-Y11_RS11500	1981	1102	1245	1381	1595	1213	1253	1460	1085	1106	host	gene-Y11_RS11500
gene-Y11_RS19915	5490	2793	2977	3518	3861	2775	2538	2478	2128	1997	host	gene-Y11_RS19915
gene-Y11_RS01715	634	564	678	914	1406	922	1169	1287	1044	984	host	potI
gene-Y11_RS07185	164	68	75	86	142	100	142	118	142	80	host	citD
gene-Y11_RS19140	1465	756	821	974	1134	869	772	900	637	761	host	cbpM
gene-Y11_RS04100	2924	2019	2125	2309	2590	1727	1982	2052	1635	1736	host	zntB
gene-Y11_RS00630	478	128	160	305	367	329	391	589	566	391	host	gene-Y11_RS00630
gene-Y11_RS02235	166	92	161	182	229	187	158	256	213	273	host	nrfB
gene-Y11_RS01125	395	119	145	236	273	232	262	466	363	239	host	gene-Y11_RS01125
gene-Y11_RS13810	1337	582	788	1247	1446	1393	1812	1788	2060	1347	host	gene-Y11_RS13810
gene-Y11_RS14990	1611	783	915	1292	1382	1040	946	1137	964	790	host	gene-Y11_RS14990
gene-Y11_RS17245	142662	121550	131765	176862	184910	143682	127871	126570	92707	85073	host	priB
gene-Y11_RS05090	25205	14843	14434	12795	13456	9739	9988	10748	9209	8358	host	gene-Y11_RS05090
gene-Y11_RS12190	4008	1752	1596	1784	1716	1206	1322	1470	1256	1284	host	exuR
gene-Y11_RS11005	2788	2358	2768	2865	3194	2151	2025	2196	1799	1677	host	gene-Y11_RS11005
gene-Y11_RS07070	1344	570	622	970	1239	882	1016	1198	1191	921	host	gene-Y11_RS07070
gene-Y11_RS04095	14177	7277	6973	7573	6621	5165	4646	4328	3609	3288	host	gene-Y11_RS04095
gene-g241	6	1251	2038	4691	4141	4394	4920	7404	9205	16525	phage	g241
gene-Y11_RS12920	589	241	282	367	487	331	464	412	428	313	host	gene-Y11_RS12920
