Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-CPT_phageK_gp148	3	4	1	2.244384629812802	7.2138455048220225	7.465536284932644	149.07112328727277	102.5982126229872	579.9852367394284	3843.281567131645	594.346458673097	8189.203737617824	14209.115749287232	6264.390795852729	22747.86591804168	30513.580671244563	26972.485240394457	27639.85880522464	33372.05472676449	33240.71140084026	29627.8154943268	phage	gene-CPT_phageK_gp148	1.16470322671365	0	0	0
gene-CPT_phageK_gp147	0	0	0	0.0	0.0	0.3732768142466321	0.9089702639467852	0.7743261330036769	7.077306122506753	73.42801486209363	9.062461885739726	153.9543973179023	317.124920173507	178.53821592690494	505.5178074199216	652.991168490967	561.9110413253851	520.2104107517422	745.0202187501114	663.013991351546	593.7631042401582	phage	gene-CPT_phageK_gp147	1.1610953483798163	0	0	0
gene-CPT_phageK_gp184	1	0	0	0.0	0.2885538201928809	0.0	2.423920703858094	0.7743261330036769	8.138902040882765	14.158765197623437	2.2656154714349315	40.22561450111461	75.90059987646522	53.4642570380024	287.80988002116123	1733.9910771426798	480.7209379080747	1430.8512765330938	2226.737736474958	2099.1784041853307	1414.180442122802	phage	gene-CPT_phageK_gp184	1.6148644599603317	0	0	0
gene-CPT_phageK_gp041	0	0	0	0.0	1.1542152807715236	1.1198304427398966	17.57342510297118	3.871630665018385	63.34188979643544	111.6237535347522	12.460885092892124	229.6516900609089	309.70934432350754	235.89078256767115	394.05134859175627	329.61281066210705	279.82263549873005	465.68101759118224	155.51970094560258	221.37056554508013	252.51411264867528	phage	gene-CPT_phageK_gp041	1.0119638323880262	0	0	0
gene-CPT_phageK_gp175	2	0	1	1.6031318784377158	1.7313229211572854	0.7465536284932643	3.029900879822617	1.1614891995055152	12.739151020512155	24.695520693529247	14.726500564327054	45.345238164892834	244.71400304998272	109.196694677617	923.952443880339	9276.323689538343	1823.1898572036007	7621.3915174076	15613.559700898042	10979.248247513517	9991.040312509032	phage	gene-CPT_phageK_gp175	1.7327339555512655	0	0	0
gene-CPT_phageK_gp020	0	0	0	1.2825055027501726	7.790953145207784	16.050903012605183	115.74221360922398	20.906805591099275	473.4717795957018	430.031333676656	161.61390362902512	892.2772671156332	567.0734473529011	399.8478374842118	824.6776289865044	414.4555818276	525.2810876905985	696.8856445919565	372.6290082289897	290.16009665660926	764.6411282614505	phage	gene-CPT_phageK_gp020	0.8891764303901175	0	0	0
gene-CPT_phageK_gp091	1	1	0	0.0	2.308430561543047	2.2396608854797933	90.59403630669624	22.842620923608468	305.3857591861664	706.9504390534306	118.56720967176142	1855.1322033104948	1479.1892769028368	1259.488285495244	1761.692548510769	1025.160896319152	1522.5976603655597	1151.6607835510267	611.1401092204871	678.7477670845021	1035.409273149789	phage	gene-CPT_phageK_gp091	0.9909831997307688	0	0	0
gene-CPT_phageK_gp133	0	1	1	0.3206263756875431	2.885538201928809	1.866384071233161	63.02193830031044	26.327088522125013	224.7044693895894	1014.4919900901816	179.36122482193207	2277.5011555721985	3508.00358739387	1635.6822395626427	5826.734968900423	7184.800295567277	5870.233291265531	6409.021342804484	4636.817505716062	5547.070700270108	4331.783261762315	phage	gene-CPT_phageK_gp133	1.1135670204848116	0	0	0
gene-CPT_phageK_gp138	0	1	0	0.3206263756875431	5.482522583664737	5.225875399452851	117.25716404913528	53.81566624375554	491.518910208094	1563.0618230957778	249.5953044364149	4171.761911170141	4682.281833758493	2490.7863263704508	7230.51568476763	5288.713444760173	6669.29496024706	4286.373831707751	2556.563157287727	3343.61029413379	3537.732859336963	phage	gene-CPT_phageK_gp138	1.0630124987032812	0	0	0
gene-CPT_phageK_gp023	0	0	0	0.0	0.0	0.7465536284932643	2.726910791840356	2.7101414655128693	13.446881632762832	123.14832985839918	12.460885092892124	323.63335303169487	557.9130301264312	211.58884755039733	1093.764627251372	1190.5094279835314	1079.2619328682465	1001.8867170033552	619.4630289958635	819.2540433974125	591.7348784357512	phage	gene-CPT_phageK_gp023	1.180987019818846	0	0	0
