Geneid	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier	0_T	2.5_T	5_T	10_T	20_T	30_T	classification
gene-T7p53	phage	gene-T7p53	1.4087917571792212	0	0	0	0.1136475158759022	16.5	0.7852619781197919	76.61720934603264	1672.2000507383295	2478.428607274339	late
gene-T7p56	phage	gene-T7p56	1.3402014091935228	0	0	0	0.2114083290333146	22.0	1.0170229672943232	257.513029372096	2140.7028142093186	3046.932997954703	late
gene-T7p17	phage	gene-T7p17	1.2978253982552657	0	0	0	1.2724302038186472	66.5	3.9126829652308888	2029.1005200967872	16927.605998602874	13647.247593473081	middle
gene-T7p18	phage	gene-T7p18	1.3287782568865485	0	0	0	0.9811207712775163	43.5	2.736142364796276	1006.971874346428	11405.422559656265	12031.823522193095	late
gene-T7p08	phage	gene-T7p08	1.013780336283024	0	0	0	0.2823795777163327	13.0	5.790463111145286	1681.1858488281289	2255.101506861225	1707.4208950127738	middle
gene-T7p02	phage	gene-T7p02	0.9428873240516884	0	0	0	0.1290324129224789	24.5	225.0517904693845	1331.2288157044354	603.1388091274102	1007.7188082422766	early
gene-T7p21	phage	gene-T7p21	1.0490573285509304	0	0	0	0.2114083290333146	17.5	0.5085114836471616	1608.6259683304236	1924.6998465660845	1059.9103957823831	middle
gene-T7p46	phage	gene-T7p46	1.3054454190164253	0	0	0	0.1136475158759022	25.5	1.235157031100783	376.6140357420353	3515.1899043398744	3489.2625345188935	middle
gene-T7p34	phage	gene-T7p34	1.2585579376009823	0	0	0	0.5394407922174643	17.0	0.8548006006638832	1334.913563099126	6182.093297143778	3453.5927685482834	middle
gene-T7p27	phage	gene-T7p27	1.1222096562867236	0	0	0	0.47542639142813803	14.0	0.9584065366281527	3773.5254070408155	7385.7925371584315	3502.512442895787	middle
gene-T7p57	phage	gene-T7p57	1.477236924305884	0	0	0	1.5002270412423648	182.0	11.399223610253188	1185.571333479825	17572.65887080032	35604.672115643174	late
gene-T7p22	phage	gene-T7p22	1.0939507829657222	0	0	0	1.350358300395357	71.0	2.6372955269190994	12125.1173276605	15129.78189763163	6484.61467415679	middle
gene-T7p51	phage	gene-T7p51	1.43321736681281	0	0	0	1.1295183108653313	241.0	9.633710711749401	1086.185177612561	13212.47379374193	24441.238959420585	late
gene-T7p20	phage	gene-T7p20	1.320300121710408	0	0	0	0.46599473093142674	39.5	1.9099996105722696	868.8146606917404	8411.729982084358	6205.49166823954	middle
gene-T7p03	phage	gene-T7p03	1.2667273579370577	0	0	0	0.3071961352596207	78.5	908.9186709609539	6141.635816292815	1393.6830326274844	1353.9297001257278	early
gene-T7p40	phage	gene-T7p40	1.1609821237719882	0	0	0	0.592050525578973	26.0	1.689811182168867	2692.232239770962	7973.000090794052	4899.960733834401	middle
gene-T7p23	phage	gene-T7p23	1.0943224553589652	0	0	0	0.0645162064612394	5.0	0.3892242577178781	1401.3826108200606	1551.9906918381716	684.3373767510161	middle
gene-T7p29	phage	gene-T7p29	1.0869970683141028	0	0	0	1.0729283478850633	93.0	3.1192035287233266	9713.940423631575	16318.315809207255	8167.069152765666	middle
gene-T7p01	phage	gene-T7p01	0.9404040040341488	0	0	0	0.2550882075700252	90.5	615.6311905424972	3476.6894616288328	1607.3837875872105	2154.754240047423	early
gene-T7p12	phage	gene-T7p12	1.178549051698896	0	0	0	0.01836151532150935	4.0	0.24538791454260256	51.97753806333889	159.4152543860864	204.9499005221183	late
gene-T7p24	phage	gene-T7p24	1.0960622814127987	0	0	0	1.2674805786126082	67.5	2.2255765165521715	11020.271624854384	13880.840519114212	5884.043787154347	middle
gene-T7p44	phage	gene-T7p44	1.380947325025058	0	0	0	10.630085680190575	560.5	55.83611562552419	8722.413381210146	131862.79390240353	182291.48341826483	late
gene-T7p06	phage	gene-T7p06	1.22090679849375	0	0	0	0.0491313094146627	10.0	172.54703583079404	903.5699959039505	219.56245109286692	196.02110371594884	early
gene-T7p11	phage	gene-T7p11	1.1197145501981207	0	0	0	0.0	5.0	0.2003984092445034	12.238388209238913	37.78994976820616	50.509090945207035	late
gene-T7p35	phage	gene-T7p35	1.238066590356785	0	0	0	1.9165886570872157	71.5	4.025156728476136	5202.113907145542	23458.754174667964	14398.421466861353	middle
gene-T7p31	phage	gene-T7p31	1.2343777821999893	0	0	0	0.8858347707231234	32.0	2.1015301925357948	3054.855306509804	11445.28613551056	5834.951688328473	middle
gene-T7p16	phage	gene-T7p16	1.2837640777793415	0	0	0	0.1657554435654977	6.0	0.43421376301597725	269.86204780455677	1663.890114639181	1090.1714219648147	middle
gene-T7p50	phage	gene-T7p50	1.3627738750065108	0	0	0	1.9622415425550326	151.5	9.967776899101786	1804.440127596991	20652.497470743197	28703.250401330115	late
gene-T7p59	phage	gene-T7p59	1.5296793829226885	0	0	0	0.28535619599126544	30.0	2.344863742481455	186.4179100428862	3060.479019047998	7154.128731532297	late
gene-T7p60	phage	gene-T7p60	1.811413813632535	0	0	0	0.5523508766610216	47.5	4.021047999282251	102.72962104742774	2939.1980025628036	14913.55502757874	late
gene-T7p04	phage	gene-T7p04	1.21739774412957	0	0	0	0.04615469113973005	16.5	118.81800473784202	632.5503968898619	146.97772753791466	132.6439236375006	early
gene-T7p45	phage	gene-T7p45	1.3676779679787043	0	0	0	8.888182321493654	464.0	45.15326573973991	7773.89115032236	115838.59859765283	149107.59607382253	late
