Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b4690	112	158	159	147	55	86	34	58	47	31	31	37	host	eyeA	0.6159729808954035	0	1
gene-T7p59	8	9	52	8	14	86	3015	6216	116990	76286	162467	184735	phage	gene-T7p59	1.4757729037844154	0	0
gene-b0375	25	55	41	36	16	29	21	26	15	19	14	14	host	iprA	0.46714624906414703	0	1
gene-b1701	157	198	165	149	49	83	54	70	46	49	40	62	host	fadK	0.5812172502171739	0	1
gene-b2527	4361	4731	4443	3858	1901	2848	705	1318	612	390	379	389	host	hscB	0.7874176062021891	0	1
gene-b3724	2460	2664	2283	1636	986	1333	633	1015	508	323	349	347	host	phoU	0.6828452496889569	0	1
gene-b3964	3023	3306	2277	2088	1148	1568	1203	2099	1217	787	583	608	host	yijD	0.5228580257779657	0	1
gene-b0385	118	170	179	119	44	72	34	75	49	31	32	50	host	dgcC	0.6260224633531772	0	1
gene-b1756	160	184	109	98	52	80	36	73	47	33	29	38	host	ynjD	0.6258094684254067	0	1
gene-b3486	2274	2628	1843	1391	367	552	326	433	872	539	667	846	host	rbbA	0.7108401020749553	0	1
gene-b1447	1173	1315	928	826	373	496	239	425	263	161	211	227	host	ydcZ	0.6986623144904287	0	1
gene-b3980	208161	232621	227731	185310	122456	178440	113639	200894	107443	68881	36663	36667	host	tufB	0.4790752725911789	0	1
gene-b2705	88	110	79	57	28	44	26	47	35	25	26	35	host	srlD	0.5382068994974578	0	1
gene-b1766	4583	5378	4547	3929	2265	3076	1622	2682	1644	973	762	842	host	sppA	0.5718611297881339	0	1
gene-b2241	24	84	53	18	7	19	22	21	36	10	11	36	host	glpA	0.7341635054029353	0	1
gene-b2472	4610	5088	4295	3536	1717	2659	1382	2300	1290	809	709	804	host	dapE	0.6247112619181843	0	1
gene-b4784	1479	1394	1671	1410	729	1261	663	1162	864	498	292	395	host	yqgG	0.4559344624092773	0	1
gene-b1277	2289	2920	2387	1885	1144	1555	812	1547	865	560	486	495	host	ribA	0.5565481939326242	0	1
gene-b2929	776	987	721	624	336	447	264	544	280	233	141	197	host	fumE	0.5542067027686673	0	1
gene-b3323	129	231	195	85	86	112	67	111	84	46	36	79	host	gspA	0.5226793234845841	0	1
gene-b1692	192	244	168	124	73	113	50	75	41	31	51	52	host	ydiB	0.6466327033093452	0	1
gene-b3124	557	637	482	428	196	300	149	263	192	123	130	143	host	garK	0.5778744577232056	0	1
gene-b0152	2742	2933	2838	2436	890	1015	81	165	115	65	52	73	host	fhuD	1.0660037470526487	0	1
gene-b2414	49310	58372	30218	22792	6958	9414	7121	13377	40763	25387	14434	15108	host	cysK	0.6697127765671921	0	1
gene-b3582	46	91	64	30	9	27	29	25	33	16	12	44	host	sgbU	0.6283542538302361	0	1
gene-b3091	343	477	360	298	164	198	129	212	148	82	72	98	host	uxaA	0.5687204575096533	0	1
gene-b4439	61	82	57	34	29	25	23	35	19	9	25	25	host	micF	0.5648966485713166	0	1
gene-b2521	929	1135	684	604	294	376	216	484	320	239	209	212	host	sseA	0.6169906570957516	0	1
gene-b4333	66	118	102	48	32	55	25	49	33	20	22	33	host	yjiK	0.5976848093616178	0	1
gene-b2735	532	611	523	391	277	349	235	457	306	194	153	169	host	ygbI	0.4214270204490712	0	1
gene-b3866	766	897	1164	686	584	767	264	593	227	149	129	161	host	yihI	0.6146626114017755	0	1
gene-b4548	10	29	20	18	6	14	7	16	16	6	4	9	host	ypjJ	0.5423577463981166	0	1
