Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Expression of 0	Rows with missing values	Outlier
gene-b2204	18	74	19	158	11	172	5	105	3	86	3	37	host	napH	1.0135154899121002	0	0	0	1
gene-b2033	451	1709	178	2245	105	263	12	95	26	85	7	46	host	wbbJ	1.6279919133164247	0	0	0	1
gene-b0651	85	363	154	508	75	216	24	134	12	100	14	50	host	rihA	1.005412521371636	0	0	0	1
gene-b1083	45	195	62	270	19	188	15	115	11	59	4	15	host	flgL	1.0225842417187547	0	0	0	1
gene-b3416	506	948	773	1613	420	866	137	486	67	363	62	156	host	malQ	0.8194077127863083	0	0	0	1
gene-b3223	17	118	44	208	16	151	8	100	6	81	3	32	host	nanE	0.9775036203411689	0	0	0	1
gene-b1841	212	1125	289	1066	125	243	34	64	26	67	24	27	host	yobA	1.3711602340279962	0	0	0	1
gene-b4288	19	186	29	374	10	246	7	150	9	141	4	92	host	fecD	1.071218297895498	0	0	0	1
gene-b0629	22	150	22	236	10	167	1	85	5	79	3	29	host	ybeF	1.107983615755452	0	0	0	1
gene-b3216	56	404	67	810	47	632	24	5583	27	253	8	152	host	yhcD	2.235282009615188	0	0	0	1
gene-b3872	29	193	42	332	21	306	19	204	8	159	4	84	host	yihL	0.97340476650541	0	0	0	1
gene-b3663	18	302	28	249	15	190	6	85	3	69	3	56	host	yicN	1.1641968515169725	0	0	0	1
gene-b0173	366	956	963	1210	434	479	150	223	82	180	56	69	host	dxr	0.8869043711425943	0	0	0	1
gene-b3540	2007	692	4134	2032	3309	811	824	338	334	216	221	117	host	dppF	1.0176765290842102	0	0	0	1
gene-T4p034	0	2	320	33161	3494	41829	543	35125	1556	14714	80	5230	phage	61.1	1.3471401349587495	0	1	0	1
gene-b0494	184	916	277	1067	85	214	38	121	16	84	20	46	host	tesA	1.327687598995669	0	0	0	1
gene-b0886	213	1614	357	2334	134	538	58	284	43	213	35	73	host	cydC	1.411753184340422	0	0	0	1
gene-T4p216	0	0	97	10618	1807	43030	347	51390	3660	25278	73	7989	phage	31.2	1.4384644772532793	0	1	0	1
gene-b2029	6800	29472	7874	43183	4331	4100	1180	925	866	1016	543	416	host	gnd	1.5523196066126526	0	0	0	1
gene-b1243	25826	55284	25031	90177	9246	7570	2215	2002	2279	2102	1193	851	host	oppA	1.4248730844456092	0	0	0	1
gene-b1249	378	2184	541	1888	184	486	85	210	44	165	35	61	host	clsA	1.3392147599010444	0	0	0	1
gene-b4410	54	499	179	622	90	122	26	37	22	33	5	18	host	ecnA	1.3688301304048618	0	0	0	1
gene-b3513	24	242	45	399	15	245	9	218	4	141	4	73	host	mdtE	1.0519006185254578	0	0	0	1
gene-b1244	4233	8801	6410	15670	2244	948	508	289	407	252	172	120	host	oppB	1.380710475563044	0	0	0	1
gene-b4226	4377	29824	4588	35682	2231	7630	832	1407	546	1233	302	628	host	ppa	1.5553166670859682	0	0	0	1
gene-b2947	903	1633	963	1294	375	392	151	175	105	139	62	61	host	gshB	0.9927400162695919	0	0	0	1
gene-b3586	20	863	44	440	12	390	8	313	6	163	2	82	host	yiaV	1.2947082553256961	0	0	0	1
gene-b1018	464	3294	642	4065	225	487	55	223	34	172	28	77	host	efeO	1.6033625716703441	0	0	0	1
gene-b0650	27	133	31	242	11	291	4	179	5	142	4	53	host	hscC	1.0374377492226043	0	0	0	1
gene-b1287	238	2271	223	1186	37	314	25	150	10	106	22	54	host	yciW	1.6737002141633055	0	0	0	1
gene-b4585	18	168	18	230	7	143	1	137	5	107	0	65	host	chiX	1.0150232373659032	0	1	0	1
gene-b4023	63	631	96	476	39	123	16	80	9	49	3	21	host	yjbD	1.445694058782043	0	0	0	1
gene-b2411	473	3000	861	5254	556	730	190	363	93	251	77	111	host	ligA	1.4981925813896853	0	0	0	1
gene-b3995	378	1936	323	1101	135	242	47	112	34	96	36	42	host	rsd	1.4742712425563178	0	0	0	1
gene-b3649	1206	9782	1769	10750	836	1008	315	260	185	221	136	90	host	rpoZ	1.6449751657263978	0	0	0	1
gene-b2968	23	98	36	196	24	212	4	103	8	76	0	29	host	yghD	1.0323945116575968	0	1	0	1
gene-T4p054	6	0	183	18467	2804	115231	4939	353369	15418	238787	1100	72503	phage	46	1.6010481497862303	0	1	0	1
gene-b1768	210	1111	279	1305	105	240	61	99	27	92	46	44	host	pncA	1.3749213404364666	0	0	0	1
gene-b3909	39	284	99	585	47	429	16	280	6	208	10	75	host	kdgT	1.038783955873781	0	0	0	1
gene-b2577	56	275	74	308	23	236	26	167	17	105	14	59	host	yfiE	0.899641893384351	0	0	0	1
gene-b2428	54	217	63	372	21	227	10	162	6	72	4	42	host	murQ	1.0641996805111342	0	0	0	1
gene-b4427	3	17	10	30	8	17	0	15	1	13	0	5	host	micC	0.8688848070098549	0	1	0	1
gene-b3605	238	838	307	1307	116	500	52	339	36	269	21	125	host	lldD	1.055819820438457	0	0	0	1
gene-b2793	130	732	147	552	41	198	10	73	12	55	10	37	host	syd	1.3410278785366667	0	0	0	1
gene-T4p042	1	2	25	1584	2768	91515	3228	68719	3686	39174	463	15769	phage	segA	1.573338312975652	0	0	0	0
gene-b0111	124	534	148	786	51	234	24	151	16	111	10	60	host	ampE	1.2086509002388908	0	0	0	1
gene-b1357	6	26	3	32	1	30	3	12	1	11	0	9	host	ydaS	1.0031138865400928	0	1	0	1
gene-b4419	63	385	84	538	33	179	19	83	10	76	9	45	host	ldrA	1.2522490977925567	0	0	0	1
gene-b0190	184	1354	265	1285	114	337	39	167	27	111	17	55	host	yaeQ	1.3730528952570409	0	0	0	1
gene-b0331	14	70	14	191	4	195	3	138	1	102	1	24	host	prpB	1.1403095665312744	0	0	0	1
gene-b0433	268	3746	558	3605	211	866	93	416	58	315	54	124	host	ampG	1.4885980740145714	0	0	0	1
gene-b0022	15	217	78	331	61	213	10	83	7	52	1	27	host	insA1	1.1077091013916112	0	0	0	1
gene-b2581	835	4782	933	4890	490	893	261	349	133	251	166	143	host	yfiF	1.4103287116582506	0	0	0	1
gene-b3403	896	6775	1416	9670	898	1935	310	641	247	533	158	163	host	pck	1.4732174740596857	0	0	0	1
gene-b2956	11	88	17	177	8	199	3	133	5	60	2	29	host	yggM	1.1265050847612774	0	0	0	1
gene-b0348	9	78	14	173	12	177	5	125	1	86	0	31	host	mhpB	1.0855641666704614	0	1	0	1
gene-b4785	5	80	2	35	1	31	0	17	0	17	0	5	host	yqgH	1.4035522523482387	0	1	0	1
gene-b0355	279	987	389	1443	209	398	56	147	60	107	36	60	host	frmB	1.1985379571630659	0	0	0	1
gene-b3413	150	926	213	1308	107	412	31	212	8	163	10	55	host	yhgH	1.2985455057697144	0	0	0	1
gene-b1315	11	83	20	190	9	188	2	144	3	92	1	35	host	ycjS	1.0809180204617654	0	0	0	1
gene-b1505	11	44	17	195	1	156	0	103	1	68	1	56	host	ydeT	1.156723308805873	0	1	0	1
gene-b1410	11	103	35	255	6	223	5	180	4	105	1	51	host	ynbC	1.078738253715029	0	0	0	1
gene-T4p082	4	0	18	1690	1859	63225	11557	100216	8173	53655	650	23190	phage	49.2	1.4268616996201413	0	1	0	1
gene-b2367	11	69	25	208	14	187	1	149	5	91	4	47	host	emrY	1.0623580761327147	0	0	0	1
gene-b1843	25	360	40	278	16	152	5	85	5	54	7	24	host	yobB	1.2817813334494617	0	0	0	1
gene-b4129	189	724	184	1161	94	468	27	273	31	200	11	88	host	lysU	1.145603029498974	0	0	0	1
gene-b2544	28	141	37	276	21	217	9	174	4	110	5	31	host	yphB	1.0235192255382874	0	0	0	1
gene-b3523	401	1132	463	1155	98	491	51	331	32	215	22	72	host	yhjE	1.0257709204900813	0	0	0	1
gene-b0265	23	199	75	332	51	219	14	99	9	51	8	36	host	insA2	1.0607986935653413	0	0	0	1
gene-b2263	145	505	257	618	126	191	35	156	28	326	22	82	host	menH	0.8785531729094996	0	0	0	1
gene-b4332	41	253	40	268	13	273	10	212	2	146	5	64	host	yjiJ	0.9681766446908672	0	0	0	1
gene-b1687	1670	2570	2369	4386	1454	724	292	293	143	227	86	90	host	ydiJ	1.0854687868383301	0	0	0	1
gene-b2595	1318	8411	1753	9907	697	1485	278	412	180	301	143	156	host	bamD	1.5439028313491936	0	0	0	1
gene-b2076	64	475	93	928	44	552	16	365	17	237	4	94	host	mdtC	1.1434955125933466	0	0	0	1
gene-b1733	13	192	31	261	13	130	7	81	8	57	2	18	host	chbG	1.19270037664181	0	0	0	1
gene-b4782	59	332	74	269	33	119	8	30	7	22	2	9	host	pssL	1.3002821350073637	0	0	0	1
gene-b2527	486	4128	650	3957	236	429	97	111	75	93	67	40	host	hscB	1.6596565410296522	0	0	0	1
gene-b4217	230	1103	340	1665	261	1118	84	281	49	168	26	85	host	ytfK	1.138412550537944	0	0	0	1
gene-b0792	42	235	71	421	21	243	9	171	7	107	3	40	host	ybhR	1.0869247945852225	0	0	0	1
gene-b4504	10	52	13	130	7	67	5	51	6	35	4	13	host	ykfH	1.1013638591720663	0	0	0	1
gene-b4087	10	83	10	287	2	364	3	243	1	134	1	51	host	alsA	1.24893567006202	0	0	0	1
gene-b2646	10	24	3	42	1	41	0	32	0	22	0	14	host	ypjF	0.9798936085111526	0	1	0	1
gene-b4183	4	29	8	136	1	163	4	105	3	68	0	27	host	yjfK	1.2219139435051052	0	1	0	1
gene-b3974	271	1889	368	1266	133	6462	73	279	94	111	51	41	host	coaA	1.9118288401917904	0	0	0	1
gene-b1792	57	260	68	300	32	117	7	54	8	43	10	12	host	yeaO	1.171813690823896	0	0	0	1
gene-b2586	505	2616	1299	5919	816	2935	413	930	238	698	184	385	host	yfiM	1.137853704129471	0	0	0	1
gene-b2940	223	3228	301	3240	161	587	60	183	45	161	26	66	host	yqgC	1.6619382133965577	0	0	0	1
gene-T4p097	1	2	1897	86763	5634	67422	136	11218	605	11251	118	7943	phage	mobD.1	1.732957989325506	0	0	0	0
gene-b4214	255	455	206	481	65	202	26	120	23	81	12	40	host	cysQ	0.9532587591796294	0	0	0	1
gene-b1968	35	303	46	569	10	172	3	120	8	52	2	40	host	hprS	1.4255818941836425	0	0	0	1
gene-b3976	4270	11815	4261	23071	2958	14023	976	2085	640	1456	324	1177	host	thrU	1.2096117052415285	0	0	0	1
gene-T4p091	0	0	1486	81335	6929	96270	208	20737	692	10066	31	6606	phage	nrdC.7	1.713361484137265	0	1	0	1
gene-b3525	10	78	13	184	12	259	2	203	2	156	1	43	host	pdeH	1.1235486568118693	0	0	0	1
gene-b1621	31	301	55	325	21	227	14	155	10	125	7	46	host	malX	1.0178681525731508	0	0	0	1
gene-b1272	730	1298	620	1341	221	284	111	145	70	84	74	52	host	sohB	1.0834437033326683	0	0	0	1
gene-b1813	50	462	104	442	32	415	17	141	6	76	5	25	host	nudL	1.1700738451120405	0	0	0	1
gene-b3938	414	1995	311	1737	132	582	80	241	80	163	70	93	host	metJ	1.2912811296886546	0	0	0	1
gene-b3206	48	627	140	690	62	150	26	65	8	45	8	24	host	npr	1.4484242285321005	0	0	0	1
gene-b4485	22	209	43	383	9	313	15	266	6	176	6	54	host	ytfR	1.0510817588931418	0	0	0	1
gene-b4262	21157	2526	863	4051	339	661	146	339	88	240	72	105	host	lptG	2.247916329460216	0	0	0	1
gene-b4622	1	15	1	55	1	67	0	31	0	24	0	15	host	ytcA	1.259413533744811	0	1	0	1
gene-b1718	9407	74992	11288	102721	8020	44378	3099	8780	2152	5247	1441	2136	host	infC	1.404432834712441	0	0	0	1
gene-b1725	117	648	291	1050	130	235	43	101	15	62	10	27	host	yniA	1.3247876468785813	0	0	0	1
gene-b2824	3	94	16	167	15	91	2	52	4	22	2	19	host	ygdB	1.2176764510128557	0	0	0	1
gene-b4044	103	868	173	1147	78	536	63	321	46	232	31	80	host	dinF	1.13254713766608	0	0	0	1
gene-b3178	4841	19743	8335	29133	3931	3007	1587	10181	895	848	668	439	host	ftsH	1.230295757476201	0	0	0	1
gene-b1158	3	27	0	67	1	69	0	58	2	39	0	31	host	pinE	1.0745911382205204	0	1	0	1
gene-b2067	103	947	211	1035	44	649	25	365	14	291	14	102	host	dgcE	1.1061254781475751	0	0	0	1
gene-b3295	34056	210088	73599	331397	61620	30251	13444	7944	45725	5942	6501	2216	host	rpoA	1.4043009510005924	0	0	0	1
gene-b4468	58	100	148	238	41	224	14	164	12	93	4	27	host	glcE	0.8464913662364606	0	0	0	1
gene-b2874	26	137	20	204	11	180	1	143	4	107	1	49	host	yqeA	0.9872274737379848	0	0	0	1
gene-T4p197	2	0	3047	64714	9322	154417	365	53077	4327	63440	300	35557	phage	alt.-3	1.3716328590324742	0	1	0	1
gene-b1445	18	627	39	283	20	150	7	45	9	35	0	15	host	ortT	1.6924533736829295	0	1	0	1
gene-b3770	734	909	1071	1559	646	616	193	375	116	237	88	99	host	ilvE	0.795457868838647	0	0	0	1
gene-b0809	1470	12578	1569	22841	595	1614	181	417	100	420	63	166	host	glnQ	1.9174551506661996	0	0	0	1
gene-b0883	570	2708	343	8104	386	1562	301	1027	450	1616	205	955	host	serW	1.387096357317913	0	0	0	1
gene-b1590	43	265	67	369	27	197	9	96	11	76	3	26	host	ynfH	1.1296214259997674	0	0	0	1
gene-b0375	12	38	22	105	7	122	4	65	4	48	0	14	host	iprA	1.0707246724970383	0	1	0	1
gene-b1480	150	1237	86	1327	32	413	5	124	2	81	1	56	host	sra	1.555151995901599	0	0	0	1
gene-b4702	112	894	185	1089	139	1364	23	234	21	133	7	89	host	mgtL	1.2663466174479512	0	0	0	1
gene-b1729	3017	37541	2818	30525	732	2257	329	789	185	714	309	329	host	tcyP	1.8670113885756785	0	0	0	1
gene-b0571	41	377	69	298	26	16656	17	134	5	91	8	34	host	cusR	3.0934368102666223	0	0	0	1
gene-b4175	1659	8006	2769	13092	1456	1246	510	431	275	363	195	136	host	hflC	1.5188215477429965	0	0	0	1
gene-b1266	259	1607	331	6415	138	301	54	110	37	86	30	60	host	rnm	2.2241316797550366	0	0	0	1
gene-b1954	7	28	14	47	8	28	0	8	1	7	1	1	host	dsrA	1.1140317170828964	0	1	0	1
gene-b1868	46	372	118	459	43	161	11	92	8	61	7	23	host	yecE	1.216998331687045	0	0	0	1
gene-b0347	16	118	17	291	7	299	3	225	3	158	0	52	host	mhpA	1.1249906815661153	0	1	0	1
gene-b2128	38	614	116	518	46	370	33	151	13	114	6	54	host	yehW	1.159107070770852	0	0	0	1
gene-b1742	7	46	9	89	6	98	2	63	2	46	3	22	host	ves	1.0249969028327717	0	0	0	1
gene-b3337	102	412	41	156	7	89	1	60	2	49	0	26	host	bfd	1.4025771430275331	0	1	0	1
gene-b2593	1380	2278	1467	3485	1428	1232	2252	725	1324	346	1180	105	host	yfiH	0.6095526280286409	0	0	0	1
gene-b4111	2769	12632	5817	10066	2036	1930	786	741	386	563	189	295	host	proP	1.2508239622157682	0	0	0	1
gene-b1863	415	2227	778	3233	561	1447	215	470	95	230	94	129	host	ruvC	1.1503384465030015	0	0	0	1
gene-b2397	1021	7377	905	7611	802	11844	579	5896	399	4481	286	3287	host	alaW	0.9738646330936178	0	0	0	1
gene-b4200	9133	90994	14724	138741	9221	11857	3344	2643	2121	1848	1552	530	host	rpsF	1.760601369926836	0	0	0	1
gene-b1226	18	150	23	204	6	187	7	104	1	76	0	25	host	narJ	1.0921462197721445	0	1	0	1
gene-b0475	561	1094	142	919	50	305	29	156	18	116	17	27	host	hemH	1.2474014394380804	0	0	0	1
gene-b3201	512	2789	880	4051	329	511	130	214	63	148	67	76	host	lptB	1.4933657254848511	0	0	0	1
gene-b2945	22	151	28	177	19	147	9	99	6	74	2	23	host	endA	0.976552570552121	0	0	0	1
gene-b3304	11915	67434	21944	95396	18996	9021	5797	1233	3509	1114	2389	324	host	rplR	1.449341609773906	0	0	0	1
gene-b0325	198	535	267	1166	162	355	41	188	20	127	13	54	host	yahK	1.1888107086935047	0	0	0	1
gene-b1744	295	397	582	1134	408	286	77	128	41	71	14	33	host	astE	1.0702998509942678	0	0	0	1
gene-b1011	69	279	166	1760	62	212	18	103	4	70	3	23	host	rutB	2.0303664058525235	0	0	0	1
gene-b0452	278	1746	483	2074	161	513	49	196	38	156	15	77	host	tesB	1.369526793787342	0	0	0	1
gene-b2413	101	1294	112	1148	46	335	23	159	12	146	8	55	host	cysZ	1.492103738156367	0	0	0	1
gene-b0871	384	907	598	1757	335	397	107	204	43	145	31	56	host	poxB	1.149049029333982	0	0	0	1
gene-b3969	2323	18903	4116	29011	2367	28378	1118	15639	757	11191	510	8987	host	gltT	0.9804966120301003	0	0	0	1
gene-b2066	205	3126	272	2038	96	214	46	97	33	72	12	22	host	udk	1.8329596720050993	0	0	0	1
gene-T4p203	0	0	7	760	2031	88841	652	54573	1648	22031	67	8462	phage	30.1	1.8109326061577293	0	1	0	1
gene-b0837	55	298	77	329	30	304	13	191	7	105	2	38	host	yliI	0.9958577784654405	0	0	0	1
gene-b4369	1581	11854	1537	47764	894	16770	528	12176	311	6060	205	9816	host	leuP	1.4118114338729073	0	0	0	1
gene-b2424	986	5019	652	2216	116	370	59	163	30	118	83	64	host	cysU	1.7031385613275682	0	0	0	1
gene-b0995	33	220	19	185	5	143	4	93	3	60	1	20	host	torR	1.1300202599643938	0	0	0	1
gene-b4118	18	140	23	192	12	223	3	151	3	103	4	37	host	melR	1.0306774464286852	0	0	0	1
gene-b3833	804	5434	1034	5234	377	775	221	365	137	310	101	120	host	ubiE	1.4905873920923582	0	0	0	1
gene-b0822	146	638	101	539	33	132	17	53	11	57	3	23	host	ybiV	1.3952391600098004	0	0	0	1
gene-b1981	180	701	245	795	83	240	26	150	23	125	13	58	host	shiA	1.1313571505069522	0	0	0	1
gene-b2242	17	56	4	147	2	171	5	100	1	98	2	36	host	glpB	1.1003456963819187	0	0	0	1
gene-b2432	153	563	234	701	87	140	26	82	16	45	12	24	host	yfeY	1.247310422158213	0	0	0	1
gene-b3959	170	281	202	469	76	48473	28	213	34	129	29	73	host	argB	3.1938883987606035	0	0	0	1
gene-b0058	206	1143	383	1843	309	598	150	263	97	181	80	87	host	rluA	1.1452622566441752	0	0	0	1
gene-b3647	31	252	29	532	18	528	14	443	3	312	7	165	host	ligB	1.0437429551068633	0	0	0	1
gene-b0787	4	62	34	203	6	141	0	103	0	56	0	24	host	ybhM	1.1873243971999983	0	1	0	1
gene-b3081	25	188	26	472	18	495	11	395	7	304	2	107	host	fadH	1.0881005832360116	0	0	0	1
gene-b1428	32	210	32	190	9	143	2	96	1	102	2	41	host	ydcK	1.0066410096097969	0	0	0	1
gene-T4p251	3	0	23	5302	42	10562	150	12029	13401	112780	9836	157460	phage	36	1.8487310444291267	0	1	0	1
gene-b1472	0	5	0	21	0	20	0	19	1	13	0	4	host	yddL	1.2088486836979992	0	1	0	1
gene-b4682	0	6	1	26	0	38	0	21	2	14	0	3	host	yqcG	1.3167645970860828	0	1	0	1
gene-b1488	238	2027	256	1859	43	234	20	100	9	102	3	40	host	ddpX	1.6830563740970714	0	0	0	1
gene-b0266	43	143	36	141	5	74	8	33	8	33	7	17	host	yagB	1.0308781632256157	0	0	0	1
gene-b1607	65	482	74	279	27	106	7	51	7	53	3	18	host	ydgC	1.396421710445082	0	0	0	1
gene-b1000	218	1339	243	1733	71	264	24	118	15	105	6	29	host	cbpA	1.5689598977242565	0	0	0	1
gene-b2211	317	2251	496	1569	147	408	78	270	40	182	28	77	host	yojI	1.3626796269161259	0	0	0	1
gene-b1834	326	2236	609	2903	195	702	87	363	45	247	34	110	host	letB	1.3593795424193615	0	0	0	1
gene-b3606	75	751	238	637	102	220	43	160	22	135	17	46	host	trmL	1.133719129745771	0	0	0	1
gene-b1619	89	263	73	446	35	162	10	81	8	65	9	25	host	hdhA	1.1829273756930547	0	0	0	1
gene-b0469	689	4137	1031	3814	393	680	236	207	134	161	113	75	host	apt	1.4120151891982773	0	0	0	1
gene-b1714	1339	5935	2195	9174	1446	1244	475	276	220	224	215	110	host	pheS	1.4103878371888185	0	0	0	1
gene-b4550	302	248	144	215	50	130	18	58	19	41	3	16	host	arfA	0.9488364065313483	0	0	0	1
gene-b1177	77	143	84	192	32	98	3	49	5	39	1	18	host	ycgJ	0.9285328968568556	0	0	0	1
gene-b4166	149	1193	195	1040	74	563	47	294	22	222	18	94	host	queG	1.1752020687463667	0	0	0	1
gene-b2459	3	36	7	109	6	148	1	107	1	63	2	13	host	eutT	1.2150418688160778	0	0	0	1
gene-b3620	622	4015	1024	5334	427	1082	168	488	110	400	98	216	host	waaF	1.3916205361961753	0	0	0	1
gene-b4777	6	129	21	131	13	68	1	30	2	18	2	9	host	mdtU	1.2732043103101403	0	0	0	1
gene-b1857	381	1556	489	1648	234	409	65	132	47	121	27	53	host	znuA	1.2670531021374796	0	0	0	1
gene-b1304	125	680	94	906	37	248	12	115	16	111	29	59	host	pspA	1.3572462696116185	0	0	0	1
gene-b1419	71	370	103	366	43	102	13	38	9	20	8	7	host	ydcA	1.3156300466543531	0	0	0	1
gene-b2644	2	34	7	123	1	131	1	102	1	61	2	24	host	lfgB	1.1913061562570473	0	0	0	1
gene-T4p177	9	0	22	14933	62	30593	574	59881	45510	483069	7394	368876	phage	24	1.848918105679305	0	1	0	1
gene-b4032	19	119	23	339	18	16324	7	241	4	169	4	56	host	malG	3.108803040229777	0	0	0	1
gene-b3567	43	241	30	449	32	508	15	328	6	235	31	73	host	xylG	1.044709244453479	0	0	0	1
gene-b0223	330	2136	640	2425	202	488	100	258	54	195	42	60	host	yafJ	1.3562398638211963	0	0	0	1
gene-b2662	716	656	1260	1776	1063	652	351	301	113	180	95	98	host	gabT	0.843227762552152	0	0	0	1
gene-b1575	1	5	2	16	0	14	0	8	1	7	0	3	host	dicB	1.1110957216539656	0	1	0	1
gene-b0618	8	57	6	154	6	182	1	111	1	60	0	27	host	citC	1.2062460581202055	0	1	0	1
gene-b1133	588	7152	1124	6309	419	821	177	304	101	229	85	97	host	mnmA	1.6455876505356444	0	0	0	1
gene-b1188	198	836	178	950	44	245	22	185	14	132	10	63	host	ycgB	1.2633427601022336	0	0	0	1
gene-b3910	174	454	211	610	83	414	38	261	19	196	19	88	host	yiiM	0.8520102040671074	0	0	0	1
gene-b0404	36	404	70	373	32	323	19	173	7	114	11	50	host	acpH	1.0599876493252076	0	0	0	1
gene-b0892	388	1692	764	2107	266	508	121	240	47	155	29	74	host	rarA	1.2200359021949916	0	0	0	1
gene-b2294	489	1614	400	1431	123	208	45	85	37	69	25	25	host	yfbU	1.4037278145150154	0	0	0	1
gene-b4216	34	154	62	260	23	256	11	106	11	68	7	29	host	ytfJ	1.0319118368455094	0	0	0	1
gene-b0167	557	4768	1028	5529	382	1233	158	632	79	464	52	174	host	glnD	1.42065656401584	0	0	0	1
gene-b2235	594	3465	853	3670	343	475	137	110	106	104	54	45	host	gene-b2235_gene_nrdB	1.5044799723834517	0	0	0	1
gene-b0019	301	1203	1113	8820	480	1316	159	460	75	337	41	154	host	nhaA	1.9388426703405524	0	0	0	1
gene-b1197	41	332	68	545	20	277	6	215	4	127	4	56	host	treA	1.1503467171400077	0	0	0	1
gene-b0573	4	111	6	100	7	69	0	45	0	30	0	14	host	cusF	1.2002733542808677	0	1	0	1
gene-b3890	17	46	17	84	6	83	3	52	1	29	1	21	host	yiiF	0.9560722117466202	0	0	0	1
gene-b3680	13	82	22	242	7	236	5	155	7	89	4	24	host	yidL	1.16563611830335	0	0	0	1
gene-b1418	262	1413	284	1561	106	376	33	110	29	98	22	51	host	cybB	1.4236576180015528	0	0	0	1
gene-b1555	0	18	8	45	1	34	0	32	0	24	0	15	host	ydfR	1.0326935650201063	0	1	0	1
gene-T4p119	12	5	4705	124309	13991	328616	40179	392253	67862	493311	44521	526356	phage	vs.8	1.1547065723960621	0	0	0	0
gene-b0399	91	272	58	434	17	168	12	112	5	119	5	41	host	phoB	1.1101997110726003	0	0	0	1
gene-b0109	245	1719	191	1266	61	348	37	175	21	118	17	41	host	nadC	1.4912349683710744	0	0	0	1
gene-b1033	295	1783	401	2276	150	521	47	244	33	176	20	84	host	ghrA	1.4039166308540032	0	0	0	1
gene-b2290	702	5174	950	6499	356	893	103	325	76	288	55	136	host	alaA	1.59618223840409	0	0	0	1
gene-b2609	4793	22365	8413	29022	7114	6146	1954	1006	1275	654	713	290	host	rpsP	1.2733691989248714	0	0	0	1
gene-b4441	870	6618	1755	13220	2525	105539	3079	73786	2802	55558	1643	45459	host	glmY	1.302071980031195	0	0	0	1
gene-b3040	251	1188	249	1155	69	334	41	189	22	147	13	79	host	zupT	1.273983597799778	0	0	0	1
gene-T4p225	1	0	554	41311	4065	100274	703	45066	1605	30054	183	14869	phage	pseT.2	1.4649885805375833	0	1	0	1
gene-b0535	1	22	6	75	1	89	0	41	1	17	0	8	host	fimZ	1.355233669594616	0	1	0	1
gene-b2584	233	1157	315	1532	246	609	252	575	262	308	134	145	host	patZ	0.8692166073586148	0	0	0	1
gene-T4p178	3	0	29	1525	1957	59106	9007	71431	3953	18449	537	18815	phage	gene-T4p178_gene_rnlB	1.5166582599088603	0	1	0	1
gene-b4808	3	10	6	15	2	22	0	18	1	12	0	2	host	chiZ	0.9637180947326888	0	1	0	1
gene-b4272	25	166	35	237	10	128	8	99	6	59	1	37	host	insC6	1.0635767231814566	0	0	0	1
gene-b0826	164	1208	199	1597	84	242	46	101	28	110	24	39	host	moeB	1.54572995037109	0	0	0	1
gene-b1704	275	2598	335	2465	112	364	60	161	33	155	34	59	host	aroH	1.6080082442068804	0	0	0	1
gene-b3705	3788	29066	6985	35698	3283	4066	1433	1329	891	984	610	397	host	yidC	1.5467693304636072	0	0	0	1
gene-b2683	149	1218	197	940	42	171	19	81	7	71	8	39	host	ygaH	1.5582872922618431	0	0	0	1
gene-b0779	400	2515	692	3124	266	556	86	276	62	244	49	116	host	uvrB	1.3950754064784416	0	0	0	1
gene-b4671	0	7	2	15	0	23	0	15	0	14	0	8	host	ykgR	1.0942024088643865	0	1	0	1
gene-b0677	392	1335	428	1323	120	310	58	187	34	87	26	47	host	nagA	1.248646458549277	0	0	0	1
gene-b4305	20	159	32	246	12	231	3	194	3	175	2	61	host	sgcX	0.9854827593187085	0	0	0	1
gene-b3214	119	439	155	885	124	517	66	228	70	154	21	44	host	gltF	1.0419514703587942	0	0	0	1
gene-T4p060	1	1	67	6727	3307	177078	2658	230860	11710	165778	516	41933	phage	gene-T4p060_gene_mobB	1.5283892582684133	0	0	0	0
gene-b2284	2332	7918	3118	9054	1924	1467	579	479	306	337	307	167	host	nuoF	1.2457307750405766	0	0	0	1
gene-b4689	1	23	6	26	2	37	1	21	1	14	0	13	host	rzoQ	0.9765624390606401	0	1	0	1
gene-b1700	1	16	8	44	3	41	1	19	3	27	0	16	host	ydiT	0.9930157776044299	0	1	0	1
gene-b3388	1644	9567	3166	11114	1049	1258	423	508	254	395	207	181	host	damX	1.4598634819721596	0	0	0	1
gene-b2923	45	344	100	504	39	193	19	126	6	74	4	30	host	argO	1.195496036360149	0	0	0	1
gene-b3465	200	941	223	1153	84	335	35	178	10	108	15	43	host	rsmD	1.296800081621351	0	0	0	1
gene-b2268	81	762	114	862	51	312	24	159	14	83	14	48	host	rbn	1.3361287892829716	0	0	0	1
gene-b4831	179	421	172	465	71	193	21	87	10	47	9	25	host	allZ	1.0540533068599625	0	0	0	1
gene-b2811	90	652	179	676	78	209	43	118	25	107	17	39	host	csdE	1.1876672175265226	0	0	0	1
gene-b1958	216	194	338	286	202	255	68	135	47	75	34	54	host	yedI	0.6271316307911904	0	0	0	1
gene-b3301	14798	73297	26833	103616	23739	10380	7391	1994	5012	1645	3235	842	host	rplO	1.3686704813727144	0	0	0	1
