Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Expression of 0	Rows with missing values	Outlier
gene-b1259	8	13	4	76	3	31	0	14	1	15	2	4	host	yciG	1.4324859527843865	0	1	0	1
gene-b3771	827	879	1421	1549	909	737	327	3867	187	339	170	110	host	ilvD	1.0516311400294185	0	0	0	1
gene-b1370	28	261	33	257	10	144	3	109	5	66	2	42	host	insH5	1.130300015482615	0	0	0	1
gene-b3189	1393	5546	2107	6968	1309	1146	533	425	271	3567	222	109	host	murA	1.0951098128771055	0	0	0	1
gene-b1241	2652	11605	3296	17583	2185	2979	664	753	397	553	308	238	host	adhE	1.4371234824325965	0	0	0	1
gene-b0831	204	457	318	969	124	272	41	165	10	78	17	34	host	gsiC	1.1622012034039457	0	0	0	1
gene-T4p243	2	4	19	6007	1174	101002	8969	342633	38922	675337	8480	377381	phage	32	1.60906167505678	0	0	0	0
gene-b4791	7	12	3	48	3	39	0	27	1	17	0	8	host	yriA	1.1208517029227836	0	1	0	1
gene-T4p214	0	1	652	41861	6206	159922	9056	166882	34124	105211	1057	21824	phage	31	1.3151399821905192	0	1	0	1
gene-b0760	147	880	178	734	58	309	32	183	20	139	10	47	host	modF	1.1990870025107836	0	0	0	1
gene-b4723	51	515	438	893	236	284	42	85	26	76	4	49	host	ymcF	1.151041761081034	0	0	0	1
gene-b3757	714	10772	1142	17674	793	20342	627	13077	647	10209	399	8128	host	gltU	0.9967994976009119	0	0	0	1
gene-T4p106	1	0	12	1068	1434	38809	776	35887	2313	25569	179	12224	phage	tk	1.4469934484457316	0	1	0	1
gene-b4757	5	36	6	46	2	57	2	31	1	18	0	13	host	ysdD	1.0420352473553243	0	1	0	1
gene-b2717	43	234	33	270	29	191	16	88	6	46	7	23	host	hycI	1.0977529461597588	0	0	0	1
