Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-b3058	24.89114097812651	14.914181273127094	103	273	8.584111757906362	4.152408926078847	7.37029595247914	2.250366129531142	2.8740634658906146	0.6873988618393344	3.362815618260857	0.4862887483384729	host	folB	2.0511384012254497	0	0	1
gene-b0652	191.7147454059957	97.47302201555604	992	3754	121.08115532204762	21.913807690182526	45.976608084512726	9.202989843157209	16.628510052652842	5.57284077276889	22.098502634285637	3.4688597381477737	host	gltL	2.348298335975871	0	0	1
gene-b2182	82.88220346971913	115.9261615568828	675	3259	71.60956387516623	19.18594781173657	33.69278149704749	7.422849472035557	10.675092873307998	2.626845650600314	17.774882553664533	1.5561239946831134	host	bcr	2.493083090506077	0	0	1
gene-b0228	10.062376140093695	4.145636828462446	23	113	4.517953556792822	3.51590828777479	4.562564161058515	2.9221172129732738	2.6687732183269994	1.2765978862730498	3.84321784944098	0.6808042476738622	host	rayT	2.0832069691835877	0	0	1
gene-b4608	3.1775924652927463	1.1628005738370275	17	45	1.1294883891982055	0.3940242046644161	0.0	0.3022879875489593	0.0	0.1472997561084288	0.4804022311801225	0.1296769995569261	host	ohsC	2.2087954787653925	0	0	1
gene-T4p189	0.0	0.0505565466885664	6	1316	2.258976778396411	80.13846131790125	5.264497108913671	415.0749944588933	851.74923714144	2396.6161318028394	301.2121989499368	1822.642648022486	phage	26	1.3160725612329975	0	0	0
gene-b4624	6.355184930585493	10.01019624433615	29	191	6.551032657349592	3.970551600849116	3.1586982653482027	1.7801403711216497	1.4370317329453073	1.3747977236786688	1.4412066935403671	0.6808042476738622	host	ryjB	2.415229360046764	0	0	1
gene-b4351	35.48311586243567	21.941541262837823	120	435	10.843088536302773	10.941749067988786	4.913530634986093	6.0121721968070805	4.311095198835922	2.7741454067087425	3.84321784944098	1.3940277452369558	host	mrr	2.170424939450674	0	0	1
gene-b4609	110.42133816892292	283.1672180026605	769	10541	175.74839335924077	1078.2623908412772	27.02441849242351	421.5573924141098	48.65378867257683	178.08540513509044	14.892469166583796	155.28820696941904	host	ryfD	2.4761743691538287	0	0	1
gene-b4474	4.236789953723662	6.117342149316537	20	238	2.258976778396411	7.759245876468502	1.7548323696378902	7.154149038658704	1.0264512378180766	3.878893577521959	0.0	1.6858009942400396	host	frlC	2.6369097109271356	0	0	1
gene-b4396	209.7211027093213	311.681110335012	929	4256	63.47724747293915	24.61135801442353	58.96236761983312	10.714429780902003	21.350185746615995	7.119488211907393	47.079418655652	3.7930522370400888	host	rob	2.344782485694105	0	0	1
gene-b0289	5.560786814262306	6.471237976136502	18	167	2.258976778396411	4.728290455972993	1.7548323696378902	3.459518079726979	1.231741485381692	2.209496341626432	0.960804462360245	0.8429004971200198	host	ecpE	2.528224204255902	0	0	1
gene-b3220	6.619984302693221	9.656300417516183	42	280	5.421544268151386	6.819649696114894	6.3173965306964055	5.407596221709161	1.847612228072538	2.577745731897504	0.4804022311801225	1.653381744350808	host	yhcG	2.469528817280873	0	0	1
gene-b0569	10.591974884309154	11.779675378435975	35	392	4.743851234632463	11.15391594742347	4.562564161058515	226.1450022407937	1.231741485381692	4.0261933336303874	0.4804022311801225	2.139670492689281	host	nfrB	2.0003038233030477	0	0	1
gene-T4p103	0.2647993721077288	0.0	11	2482	32.07747025322904	1206.1384000319829	797.0448622895298	3186.652789632785	3950.6055241142135	4557.920903222464	1804.87118254372	3660.327827993575	phage	rI.-1	0.9069244559046268	0	0	0
gene-b4837	41.57350142091343	47.32092770049817	247	1291	59.18519159398597	23.611142725660013	16.846390748523746	8.799939193091927	33.05172985774207	7.978736789206561	8.647240161242204	4.992564482941655	host	spfP	2.346618013344768	0	0	1
gene-b0449	20.919150396510577	27.7049875853344	136	938	11.746679247661335	11.881345248342392	11.581893639610076	7.657962351240303	3.2846439610178453	4.639942317415508	8.166837930062082	2.0748319929108177	host	mdlB	2.590280455910644	0	0	1
gene-T4p173	2.3831943489695595	0.1011130933771328	17	22304	6.325134979509951	1031.9493920161058	12.985759535320389	1270.7179369933087	5121.991676712202	15317.67708775616	13050.607012239208	23604.19649035036	phage	gene-T4p173_gene_21	1.29358761298483	0	0	0
gene-T4p050	0.0	0.0505565466885664	20	4113	331.84368874643275	2309.194006212913	1551.97374770775	7551.489804514726	1511.7573830584631	1057.8822984113842	89.35481499950278	546.8479071315575	phage	44	1.3481391113439463	0	0	0
