Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-PPLUZ19_gp22	0.6208465366696799	1.346711263758339	9.877547463068142	14.18379359743557	19446.556099232308	26231.788167832587	75926.55096848946	83381.90548850296	phage	gp22	1.274193310485312	0	0	0
gene-PPLUZ19_gp37	0.0	0.897807509172226	364.8882239298113	460.1389511168069	47.73529485243994	200.92567084450783	40230.220901236746	32574.13315447565	phage	gp37	1.7111426855027123	0	0	0
gene-PPLUZ19_gp3	1.24169307333936	0.448903754586113	49892.07326816089	32725.34919248326	21808.33788380069	15781.298686212967	2911.765446714189	3973.830537747496	phage	gp3	1.06496056099228	0	0	0
gene-PPLUZ19_gp30	0.0	0.448903754586113	377.6709324114289	460.1389511168069	596.4681235300205	1239.6956917925788	39601.77325508174	35908.40002853581	phage	gp30	1.656168784039271	0	0	0
gene-PPLUZ19_gp33	0.0	0.0	19.755094926136284	33.37363199396605	17.844970038295305	39.63572803768612	5015.994559330999	4374.453465902347	phage	gp33	1.7105396650042313	0	0	0
gene-PPLUZ19_gp13.1	0.0	0.0	40.672254259692345	17.938327196756752	17098.158042192645	12298.063814307006	3928.8682904712728	4254.204282179351	phage	gp13.1	1.3017144881977958	0	0	0
gene-PPLUZ19_gp15	0.0	0.0	12.782708481617597	11.26360079796354	84216.65935022895	75335.74601111528	21170.75136646432	23500.927258278112	phage	gp15	1.2807525992414293	0	0	0
gene-PPLUZ19_gp39	0.0	0.0	48.22567290792093	35.876654393513505	10.2608577720198	19.62164754340897	3810.483363139468	3026.167281567825	phage	gp39	1.7092378149831342	0	0	0
gene-PPLUZ19_gp2	0.0	0.0	26391.063724706943	18360.086471080496	7632.739809629859	7085.769360875847	1322.888592226896	1705.9184716764885	phage	gp2	1.161280910120555	0	0	0
gene-PPLUZ19_gp18	0.0	0.0	1.743096611129672	1.251511199773727	12091.751697948896	13437.6891036282	5535.376942646281	5853.269204589033	phage	gp18	1.1395905803839006	0	0	0
gene-PPLUZ19_gp38	0.0	0.0	81.92554072309458	118.89356397850403	8.922485019147652	52.58601541633604	7580.917357245409	5956.072910880713	phage	gp38	1.704645990264388	0	0	0
gene-PPLUZ19_gp29	0.0	0.0	56.94115596356929	75.92501278627276	304.7028634038923	598.8526830248418	14035.666607894009	12806.226540116342	phage	gp29	1.6494346140437264	0	0	0
