Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-EST35_0175	0.0	0.0	0.0	0.0	217.9824245480084	248.76306598037067	8.228946355041549	4657.431471529757	2742.279174272709	1847.9528765849773	961.8339644085193	673.98601420447	2037.3675727345428	phage	gene-EST35_0175	1.3312341019582272	0	0	0
gene-EST35_0036	0.0	0.0	0.0	0.0	12981.524166246489	10774.80002024437	1378.9580660513143	54007.48143403509	45527.80834696445	33888.45463176336	66349.27968869184	43451.92259131352	38125.3875781094	phage	gene-EST35_0036	0.9802269503589758	0	0	0
gene-EST35_0189	0.0	0.0	0.0	0.0	131.90592811352013	503.74150898107183	29.410863824500343	493.0994871779916	1036.0409028948463	926.1005220586784	1499.451510178822	856.2147550090776	1058.8324862196257	phage	gene-EST35_0189	0.9968002948861364	0	0	0
gene-EST35_0370	0.0	0.0	0.0	0.0	601.0048260462436	2465.87684023255	402.7612077106447	1076.6819646839274	7754.16067971818	8909.503616697984	636.7858760049277	1574.1959937792317	3698.235344260461	phage	gene-EST35_0370	1.3769151618047506	0	0	0
gene-EST35_0272	0.0	0.0	0.0	0.0	1282.4137434272131	1105.0052431144725	18.74371114203908	1829.2729607879087	3139.2039357713843	3829.2433986217297	1749.5797371360554	1129.948356374856	1734.2676636384874	phage	gene-EST35_0272	0.9891143317822192	0	0	0
gene-EST35_0226	0.0	0.0	0.0	0.0	6.032557804509112	41.58383196935405	5.943127923085562	95.95134187878706	285.6512775124362	39.87795973943111	1383.0193244482025	2567.993448095788	1644.8603482460485	phage	gene-EST35_0226	1.7286658733664275	0	0	0
gene-EST35_0196	0.0	0.0	0.0	0.0	7.563206799683065	217.3902105444167	25.9059422288345	158.43637226641664	242.7295829639354	84.41519999824591	1234.2338828071504	1994.884058265297	786.3158655038076	phage	gene-EST35_0196	1.6137563906068169	0	0	0
gene-EST35_0093	0.0	0.0	0.0	0.0	703.1981560181516	2345.268929004708	1674.8953590418826	1243.6489653696588	735.5890410553409	783.8554285551406	813.2462005021541	590.4211202069285	410.0763476005458	phage	gene-EST35_0093	0.9517654789994252	0	0	0
gene-EST35_0050	0.0	0.0	0.0	0.0	48.71065331700641	3014.309869693141	1443.570533727937	77.79641472998921	2001.8463056194184	1836.441712948853	209.8678616593228	1193.5982522701795	1573.9331475344338	phage	gene-EST35_0050	1.1185217857341074	0	0	0
gene-EST35_0268	0.0	0.0	0.0	0.0	0.9904199380537348	10.950902369153734	1.219103163709859	708.0421588031164	981.9514947177388	598.1693960914666	509.2837371318384	421.5992081900885	706.2787491044628	phage	gene-EST35_0268	1.1456952405450795	0	0	0
gene-EST35_0444	0.0	0.0	0.0	0.0	76.71252611107109	198.5960943162745	28.19176066079049	444.54052540650815	578.2991948885779	370.1387259663348	104.63741422763091	133.41747094623054	331.3406477280196	phage	gene-EST35_0444	1.077784874068238	0	0	0
gene-EST35_0012	0.0	0.0	0.0	0.0	60.77576892602463	260.3059090181273	24.229675378733447	173.6019339007538	195.9059161837528	161.43036623041183	102.1993888331584	95.80025230870798	141.2036931598198	phage	gene-EST35_0012	0.9023832420818144	0	0	0
