"","0_R1","0_R2","0_R3","1_R1","1_R2","1_R3","4_R2","4_R3","7_R1","7_R2","7_R3","20_R1","20_R2","20_R3"
"gene-T4p238",0,1361.70458597449,5633.25730957298,1779.68049756278,1251.37140367639,1292.19138005073,3655.27677320972,3923.05311544168,3160.07893956784,3206.28372237928,3068.2975773247,5410.78373988077,4626.70505221616,5514.04075933035
"gene-T4p053",0,0,436.686613145192,400.428111951624,391.454644226972,261.816554127926,1114.71413318127,855.504363865981,1477.04683400607,1517.40345388998,1257.2320181731,278.664468522815,259.963112721981,265.593031869769
"gene-T4p210",0,6808.52292987244,1659.40912995173,65362.4739406962,118681.347382518,143610.602786815,4075.40561013477,5694.10196909475,1611.77436200499,1677.66530350569,2178.03322702233,617.062208820873,652.484472076848,701.989148421057
"gene-T4p188",0,0,2532.78235624212,4723.56865394787,3580.84740128935,1900.28144125108,32.9538285817322,19.8515420835287,32.1097137827408,29.1776005656775,19.4056810765573,2386.99601999573,2168.70877090959,3012.52499404532
"gene-T4p092",0,5446.81834389795,1310.05983943558,72807.4706888338,124290.058186688,173854.637636237,4850.01544675767,6935.57857102499,1510.6141871953,1787.17943657059,2090.395726526,508.530550852694,241.976152243327,226.227615053102
"gene-T4p028",0,0,655.029919717789,6410.55745892925,11531.8687815716,13276.6330028742,1248.26158041657,1501.05709243551,806.824234906662,907.926181856001,922.180292783607,325.128003701734,308.404889833622,322.994068525034
"gene-T4p196",0,4085.11375792346,1004.37921023394,20262.4039982928,21427.3288044895,16029.9296688646,304.162538709707,390.125957467607,203.48646114458,181.532899867943,139.944184007254,801.554353111707,666.647956668172,1507.41545902147
"gene-T4p160",0,2723.40917194897,829.704564975865,10822.6820258036,7976.69053728075,3910.35692132999,50.6648875698116,28.8063137842508,65.8020074925167,49.5327620109195,25.8742414354097,611.925536590037,370.112465893476,1141.26766996938
"gene-T4p245",0,4085.11375792346,3187.8122759599,185.383385162789,179.68409898943,177.359601183434,2516.18286934314,1971.45232876261,4008.13354625779,3728.80763257371,3362.10812601003,2544.20932160615,2548.66253126089,2124.33248281572
"gene-T4p252",11707.736667121,5446.81834389795,9738.11147313779,149938.081919664,127781.063538483,74001.1821699641,1052.09752854371,800.966567544113,1135.00133556554,949.608468378398,714.858007982621,9675.93391555101,7698.65181817857,17065.4846710243
"gene-T4p178",0,8170.22751584692,1266.39117812106,978.824273659526,770.074709954699,751.666881205981,3440.96862912168,2080.25819936716,5595.41956623392,5510.71603560201,4852.04414044297,1391.41554761929,1641.30183177303,1571.56955881265
"gene-T4p232",0,0,1790.41511389529,1850.12618392463,1617.15689090487,861.460920033821,561.77400550698,506.052489906474,961.375658833706,936.599108997416,595.37023566859,2022.60360507496,1696.69236071469,1972.22385340069
"gene-T4p206",0,1361.70458597449,1572.07180732269,266.952074634416,237.439702236032,734.775490617082,3905.78649508267,4638.57174097408,2755.35494664867,2651.92800323971,3183.94361582154,537.404875059359,568.766973952542,570.880898270151
"gene-T4p269",0,1361.70458597449,1048.04787154846,8023.39290984551,18282.8570721745,23985.7746362358,4908.30171912431,6273.24913161857,2055.02168209541,2119.29193295173,2876.83475776902,147.095613883011,182.76214741434,189.826957661959
"gene-T4p083",7805.15777808063,2723.40917194897,2707.45700150019,545.0271523786,481.296693721687,641.872842378141,3469.07248555998,2916.23468759663,3846.87698106093,4011.34998372732,4173.89603338013,3512.39420875146,3972.89067548285,3338.40146756739
