"","0_R1","0_R2","0_R3","1_R1","1_R2","1_R3","4_R2","4_R3","7_R1","7_R2","7_R3","20_R1","20_R2","20_R3"
"gene-b0035",28.018697526763,21.0036077691592,27.960975387535,27.1654526816666,23.323269355093,19.4616205839042,31.8101726868825,19.9590408858099,31.7124980610727,18.598940578101,19.7558579487919,19.013736377729,25.7338806117787,0
"gene-b2053",16.1239674446466,19.8367406708726,15.6581462170196,13.4927745107616,16.4783968269679,18.380419440354,24.3254261723219,19.008610367438,17.6180544783737,25.2414193559942,14.8168934615939,14.2603022832967,9.65020522941702,20.9201348540441
"gene-b3265",35.9485175815072,30.5719179751095,27.4017558797843,35.9807320286975,29.6611142885422,28.8320304946729,33.6813593155226,23.7607629592975,17.6180544783737,22.5844278448369,32.1032691667869,9.50686818886448,41.8175559941404,31.3802022810662
"gene-b3216",0.264327335158141,0.466746839314649,0.559219507750701,0.179903660143488,0,0,1.87118662864015,0.950430518371898,3.52361089567475,2.65699151115728,2.46948224359899,4.75343409443224,0,0
"gene-b4098",21.9391688181257,14.2357785990968,17.8950242480224,14.032485491192,11.9151484748845,14.4160152473364,9.35593314320074,19.9590408858099,10.5708326870242,22.5844278448369,14.8168934615939,23.7671704721612,19.300410458834,10.4600674270221
"gene-b0871",162.561311122257,201.634634583928,175.035705925969,195.735182236114,237.795941903014,181.281391735256,227.349175379778,220.49988026228,264.270817175606,235.143748737419,276.582011283087,347.000688893553,212.304515047174,387.022494799817
"gene-b3173",174.456041204373,214.936919504396,238.227510301799,257.981848645761,257.062990500699,307.421525149449,304.067827154024,329.799389875049,239.605540905883,288.283578960565,222.253401923909,228.164836532747,180.137164282451,188.281213686397
"gene-b2045",34.3625535705584,31.7387850733961,30.1978534185378,31.1233332048233,34.7313902353016,26.6696282075724,28.0677994296022,38.9676512532478,49.3305525394464,30.5554023783087,59.2675738463758,23.7671704721612,28.9506156882511,20.9201348540441
"gene-b2064",1596.80143169033,1554.96709517675,1655.84896244983,1452.72205565866,1553.02552249239,1712.62261138357,1575.539141315,1540.64787028085,1469.34574349637,1651.32022418425,1481.68934615939,1735.00344446777,1724.17000098917,1537.62991177224
"gene-b2093",0.264327335158141,0.933493678629297,0,0.539710980430463,0.253513797337968,0.720800762366822,0,0.950430518371898,0,0,0,0,0,0
"gene-b4024",2468.28865570673,2362.67250061075,2287.20778670037,2618.13796606817,2808.67936070735,2258.26878849525,1033.83061232368,1047.37443124583,1405.92074737422,1498.54321229271,1558.24329571096,1801.55152178982,1946.12472126577,1704.9909906046
"gene-b1910",4267.82915346335,4185.0855347148,3155.11646272945,5295.28433266341,5851.0984425603,5091.73658535923,4512.36655496572,3872.05393184711,3054.97064655,2711.45983713601,2341.06916693184,2191.33311753326,1936.47451603635,2050.17321569633
"gene-b3163",8826.41837560066,9762.01014426588,11443.3087871026,12264.0325119815,14058.607631377,12735.4682698782,21078.9173716313,23155.3387190946,26856.9622468329,24182.608238798,20622.6462162952,14616.8098403791,13024.5603246365,12321.959429032
"gene-b4185",10.0444387360094,6.06770891109043,11.184390155014,9.17508666731787,9.38001050150481,9.73081029195209,39.2949192014431,25.6616239960413,56.3777743307959,29.2269066227301,37.0422336539849,19.013736377729,12.8669403058894,0
"gene-b4568",53.9227763722609,45.0410699938636,41.9414630813026,44.6161077155849,38.5340971953711,49.3748522221273,48.6508523446438,62.7284142125453,77.5194397048444,69.0817792900893,69.1455028207718,76.0549455109158,70.7681716823915,115.060741697243
"gene-b4251",76.1262725255447,67.2115448613094,73.8169750230925,82.3958763457173,92.0255084336823,94.7853002512371,135.661030576411,180.581798490661,119.802770452941,107.60815620187,140.760487885142,76.0549455109158,86.8518470647532,52.3003371351104
"gene-b3022",66.6104884598517,77.4799753262317,65.428682406832,66.9241615733774,63.6319631318299,81.0900857662674,50.522038973284,51.3232479920825,42.283330748097,51.811334467567,61.7370560899748,57.0412091331869,41.8175559941404,115.060741697243
"gene-b3660",292.081705349746,310.853394983556,316.518241386897,335.340422507461,352.891205894451,348.507168604358,276.000027724422,271.823128254363,288.936093445329,306.882519538666,313.624244937072,232.91827062718,279.855951653094,230.121483394486
"gene-b0345",381.16001729804,443.409497348916,355.663606929446,326.884950480717,336.412809067483,342.019961743057,324.650880069066,309.840348989239,341.79025688045,353.379870983918,345.727514103859,442.069370782198,498.593936853213,334.722157664706
"gene-b4545",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-b0320",17.1812767852792,24.2708356443617,14.5397072015182,17.8104623542053,17.7459658136578,12.9744137226028,26.1966128009621,19.9590408858099,31.7124980610727,23.9129236004155,24.6948224359899,9.50686818886448,32.1673507647234,10.4600674270221
"gene-b2635",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-b0192",478.696803971394,489.617434441066,459.678435371076,467.209805392637,464.183762925819,463.83529058305,531.417002533802,471.413537112462,429.880529272319,528.741310720299,437.098357117021,451.576238971063,550.06169807677,481.163101643015
"gene-b4224",0,0,0,0,0,0.360400381183411,0,0,0,0,0,0,0,0
"gene-b4128",147.494653018243,165.928501376358,217.536388515023,211.386800668598,216.247269129287,190.651801646024,119.755944232969,110.24994013114,126.849992244291,159.419490669437,219.78391968031,90.3152477942125,112.585727676532,41.8402697080883
"gene-b2971",71.3683804926982,140.257425214052,87.2382432091093,104.344122883223,120.672567532873,104.516110543189,109.464417775449,109.299509612768,84.5666614961939,110.265147713027,86.4318785259647,114.082418266374,67.5514366059191,52.3003371351104
"gene-b2327",738.530574431847,606.304144269729,717.478628444149,632.901076384789,687.782932177907,737.379179901259,693.274645911175,792.659052322163,725.863844508998,646.977432966798,627.248489874144,703.508245975971,582.229048841493,753.124854745589
