Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	Entity	Symbol
gene-b0923	3009	3460	1407	3384	2614	1922	857	903	210	488	269	147	204	86	host	mukE
gene-b0926	4870	5670	2240	7545	5183	3925	847	897	277	742	363	226	335	95	host	mepK
gene-b1939	0	1	0	2	2	0	0	0	0	0	0	0	0	0	host	fliG
gene-b2315	5226	5799	2745	6363	4830	4171	1870	1897	455	1148	625	377	501	163	host	folC
gene-b1026	685	714	299	986	666	439	133	167	53	145	85	36	44	9	host	insF4
gene-b0401	8388	10346	4294	10748	7483	5744	1757	1924	499	1134	690	423	618	209	host	brnQ
gene-b2458	85	79	41	61	62	38	24	15	9	20	10	6	7	1	host	eutD
gene-b3662	1970	2170	1157	3445	2529	2129	1104	1106	224	549	302	156	279	91	host	nepI
gene-b4144	3965	4920	1622	5311	4012	2478	641	514	156	559	333	164	304	92	host	yjeI
gene-T4p139	1	7	259	2230	1295	886	57855	42195	77738	197134	117156	387341	417207	193707	phage	1
gene-b0046	280	282	128	326	216	150	64	59	19	46	16	12	25	5	host	kefF
gene-b4288	458	449	193	506	296	245	89	65	22	50	35	23	31	7	host	fecD
gene-b3610	6755	9630	3597	9416	7283	5105	1845	1799	492	1334	781	365	523	179	host	grxC
gene-b3812	3433	4187	1516	4727	3427	2100	780	731	208	509	277	215	293	99	host	yigB
gene-b4272	7	11	2	13	10	1	2	5	1	3	3	1	1	0	host	insC6
gene-b1574	35	55	7	29	24	16	38	30	8	40	19	30	35	9	host	dicF
gene-b0438	37610	43159	18996	50788	34974	23855	12401	13632	3650	8148	4744	2170	2888	902	host	clpX
gene-b4577	809	935	320	1050	679	462	288	281	90	246	145	68	80	26	host	sgrS
gene-b3977	11576	18375	4927	18458	12451	11075	6757	5224	688	2010	732	428	672	132	host	tyrU
gene-b1003	2188	4398	1179	5319	4453	2054	767	482	251	710	343	197	265	81	host	yccJ
gene-b4439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	micF
gene-b0083	4428	4234	2246	5458	3689	3044	913	943	214	651	356	219	310	109	host	ftsL
gene-b3788	5305	6055	2574	7266	6343	4143	1911	2162	493	1282	648	385	520	157	host	rffG
gene-b0106	345	449	212	783	466	329	99	77	33	79	40	24	36	6	host	hofC
gene-b4122	3315	7385	1901	8005	10253	4393	3837	2292	800	2630	1029	417	976	184	host	fumB
gene-b2939	1537	2291	966	2317	1985	1646	761	847	190	468	242	97	132	48	host	yqgB
gene-b3289	5975	8404	3367	9239	7921	5719	3188	3584	678	1779	837	439	677	218	host	rsmB
gene-T4p036	0	3	51	8292	8123	8272	157362	163888	73097	192346	126211	31581	39254	14406	phage	sp
gene-b3706	3791	4785	1924	4482	3618	3017	2509	2347	473	1217	569	265	432	118	host	mnmE
gene-b2500	3390	3222	1455	3041	2732	2747	2655	2609	422	1347	504	227	358	152	host	purN
gene-b3356	3020	3749	1748	5162	4195	2637	537	461	167	547	271	146	306	90	host	yhfA
gene-b0561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	tfaD
gene-b3090	154	251	82	335	245	160	31	32	12	33	10	13	18	4	host	ygjV
gene-b0821	572	668	282	775	589	397	278	289	62	175	86	26	50	8	host	ybiU
gene-b1699	182	207	68	244	151	99	35	31	11	19	18	7	8	2	host	ydiS
gene-b4304	1063	908	411	2009	1420	700	174	184	59	169	86	44	86	13	host	sgcC
gene-b2188	7992	8624	4173	13009	10317	7988	2651	2830	636	1827	854	440	700	203	host	lapC
gene-b2833	383	573	235	765	530	379	126	103	27	88	39	13	27	6	host	ygdR
gene-T4p084	0	0	32	67	39	74	61137	42714	64909	146224	84394	47951	61934	19717	phage	nrdC
gene-b2944	420	441	185	730	481	354	110	94	34	58	35	31	32	10	host	yggI
gene-b0579	651	695	350	1028	642	437	130	172	33	110	63	30	43	17	host	ybdF
gene-b2157	3884	2791	1461	5477	3974	3007	523	637	161	489	361	191	307	87	host	yeiE
gene-b2261	7641	11331	4424	11489	11807	7013	4426	4853	985	2814	1873	704	1126	384	host	menC
gene-b0211	15749	23569	8391	25614	25124	18561	7126	6537	1236	3551	1654	876	1425	386	host	mltD
gene-b1511	0	0	1	1	0	0	0	0	0	0	0	0	0	0	host	lsrK
gene-b2268	826	1194	403	1313	1138	806	432	446	95	225	132	43	80	25	host	rbn
gene-b2847	0	0	0	0	0	0	1	0	0	0	0	0	0	0	host	yqeI
gene-b1370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	insH5
gene-b0695	1891	1878	736	2071	1434	942	282	277	105	239	115	73	131	42	host	kdpD
gene-b3417	70888	112272	52958	115674	88389	78462	40451	52675	12450	27564	24379	6046	8807	4605	host	malP
gene-b0215	2854	3200	1268	4572	3326	2292	649	579	140	490	220	148	191	71	host	dnaQ
gene-b0863	7683	8158	4198	8558	5735	5706	1510	2008	502	1080	765	362	480	173	host	artI
gene-b2491	419	393	172	610	432	277	91	86	27	71	35	17	24	6	host	hyfR
gene-T4p254	1	2	86	8061	6436	4473	54418	58176	44395	120568	63963	58515	61376	38083	phage	t
gene-b3424	2656	2500	1142	3195	2304	1883	694	766	169	420	239	142	182	82	host	glpG
gene-b1992	76	96	45	112	76	55	32	18	3	18	12	9	6	3	host	cobS
gene-b3453	183	160	69	274	158	97	34	48	11	33	23	12	24	7	host	ugpB
gene-b3021	526	766	218	783	514	401	72	97	27	95	43	22	21	8	host	mqsA
gene-b2070	400	450	165	528	435	279	112	113	34	66	42	19	27	6	host	yegI
gene-b4384	10583	15636	5027	15658	12005	6910	6196	4784	1303	3119	1799	723	1047	235	host	deoD
gene-b4220	3546	3875	1711	5398	4194	2661	616	584	190	544	261	157	214	48	host	tamA
gene-b0589	693	283	159	516	324	194	49	52	15	47	23	11	20	5	host	fepG
gene-b2938	34626	33305	18268	33096	24348	24379	13979	17036	3467	8292	5279	2169	2763	970	host	speA
gene-b3470	558	659	203	982	759	457	167	159	50	137	61	33	59	12	host	tusA
gene-b4234	3693	4423	2083	5694	4124	3226	2032	2389	549	1289	768	291	409	127	host	yjgA
gene-b2787	489	529	178	734	502	328	142	120	30	95	47	21	40	9	host	gudD
gene-b4433	3250	3256	1314	4769	2262	2265	804	806	236	609	330	121	146	49	host	sdsR
gene-b2669	1409	1593	578	1940	1185	1238	757	815	132	290	193	70	99	37	host	stpA
gene-b4168	1095	1183	418	1660	1259	780	301	235	50	162	71	73	98	28	host	tsaE
gene-b4785	50	68	27	91	36	42	11	12	2	5	1	3	6	0	host	yqgH
gene-b4672	3	9	0	10	10	5	3	3	0	3	3	0	2	0	host	ymiB
gene-b2558	906	1447	530	1716	1426	1102	502	451	103	295	118	77	118	39	host	mltF
gene-b4124	1952	1874	895	2887	1925	1318	300	265	89	271	127	81	126	31	host	dcuR
gene-b2860	30	32	14	59	49	18	15	9	6	6	2	2	2	1	host	insD4
gene-b0490	424	584	235	785	531	345	94	94	36	98	53	22	28	14	host	fetA
gene-b1808	2584	2939	1214	3017	2434	2033	664	716	187	458	270	168	250	69	host	yoaA
gene-b3648	9787	12252	5096	17795	13904	9748	3449	3220	726	2184	924	562	886	234	host	gmk
gene-b1332	1935	2498	1138	3109	1842	1530	586	656	149	353	260	83	135	41	host	ynaJ
gene-b0987	237	286	109	301	218	115	80	64	18	43	39	17	28	3	host	gfcA
gene-b1442	111	112	40	165	105	53	23	12	5	16	6	4	9	5	host	ydcU
gene-b0765	615	779	324	853	615	496	226	201	72	169	78	56	64	18	host	modC
gene-b1826	206	247	97	414	218	157	48	43	16	42	22	8	17	3	host	mgrB
gene-b3650	23581	30816	13051	37098	29092	23055	8571	8867	1967	5359	2499	1316	1967	580	host	spoT
gene-b4535	77	69	28	143	77	79	29	31	5	17	16	8	6	1	host	yniD
gene-b4077	13857	14007	6785	15306	10075	7758	1845	1877	548	1330	905	612	737	281	host	gltP
gene-b4783	30	34	19	57	30	27	15	20	7	12	7	5	5	0	host	yfiS
gene-b4353	819	857	318	964	638	423	135	103	43	118	50	23	50	13	host	yjiX
gene-b2760	1	0	0	0	0	0	0	0	0	2	0	0	0	0	host	casA
gene-b4789	564	777	332	1051	681	430	208	233	102	191	103	24	60	21	host	yhgP
gene-b2218	7509	8737	4000	11010	8245	6500	1681	1760	470	1236	733	430	636	186	host	rcsC
gene-b1745	358	247	128	300	209	136	48	37	16	34	21	11	13	6	host	astB
gene-b0740	28116	31583	13791	33298	21861	18450	7509	9398	2190	5825	3854	1474	1952	675	host	tolB
gene-b4780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	yodE
gene-b1039	8	13	9	16	23	10	7	12	3	3	3	4	1	0	host	csgE
gene-b1731	419	487	196	565	492	337	190	151	38	90	48	28	37	11	host	cedA
gene-b2909	11046	12451	5524	14615	10422	7186	2030	2225	516	1542	912	515	770	212	host	ygfB
gene-b4613	2117	2857	899	2785	2016	1426	695	943	451	948	531	362	450	178	host	dinQ
gene-b2189	155	246	107	260	196	190	79	56	20	29	14	7	19	1	host	proL
gene-b0284	314	330	130	358	305	174	116	72	27	44	36	28	36	9	host	paoC
gene-b1588	1638	5563	1457	7500	15133	4427	7700	3578	753	4516	1289	415	1527	230	host	ynfF
gene-b1646	837	964	403	1566	1288	753	288	276	82	222	115	37	75	21	host	sodC
gene-b0837	1194	1444	606	2218	1713	786	199	141	77	195	103	78	94	27	host	yliI
gene-b2177	1709	1974	717	2888	1898	1181	260	232	85	233	108	72	105	40	host	yejA
gene-b2573	8884	11671	3717	24321	12253	6484	2617	2143	683	2236	753	355	582	134	host	rpoE
gene-b4557	9736	11599	6610	17955	16396	14595	9052	10724	2065	5051	2223	1084	1633	396	host	yidD
gene-b1189	1286	742	503	966	505	470	325	392	80	215	151	92	106	52	host	dadA
gene-b3148	1894	1601	816	1904	1260	1144	431	466	101	232	145	70	100	28	host	yraN
gene-b3987	185431	174608	84245	186653	114617	107455	89987	109176	30796	63795	43534	12719	15483	6116	host	rpoB
gene-b4793	80	62	76	349	299	174	222	240	43	151	43	12	22	5	host	ysaE
gene-b3704	27366	32339	16947	50580	45421	36014	24047	27796	5791	12896	6921	2087	3195	849	host	rnpA
gene-b3713	3001	4399	1549	4934	3549	1956	588	466	150	470	215	156	265	69	host	yieF
gene-b4362	2318	2843	979	2820	2231	1534	647	585	147	414	192	142	205	55	host	dnaT
gene-b2061	16	17	10	23	17	8	3	2	1	4	1	1	0	1	host	wzb
gene-b0890	24108	24057	12616	29327	20952	17048	4885	5711	1378	3386	2125	1315	1875	646	host	ftsK
gene-b2066	3147	3892	1521	4852	3974	2978	1687	1817	371	1025	383	277	364	110	host	udk
gene-b0853	4937	7227	2583	8893	6812	3938	974	933	280	802	398	204	357	99	host	ybjN
gene-T4p265	0	1	6	79	53	35	42644	36893	23025	53203	33289	2815	4031	1252	phage	52.1
gene-b2128	723	602	318	1209	751	576	315	270	81	157	93	40	70	14	host	yehW
gene-b1792	1311	1845	739	2456	1867	1062	427	471	139	343	215	87	139	32	host	yeaO
gene-b3623	0	1	0	0	2	0	1	1	0	0	0	0	1	0	host	waaU
gene-b3395	365	357	162	460	283	182	65	64	18	58	23	17	23	4	host	hofM
gene-b3712	4253	4473	2002	7573	5158	2898	710	681	218	686	309	153	323	76	host	yieE
gene-b0930	25965	34419	14899	31233	28778	25198	9974	13301	2464	6251	4206	1739	2361	888	host	asnS
gene-b4142	21197	18111	10424	17070	11493	11752	3322	4767	868	2053	1735	621	736	338	host	groS
gene-b0536	349	462	121	711	350	323	312	225	52	179	81	34	39	9	host	argU
gene-b1389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	paaB
gene-b3960	35252	48293	23259	48806	37806	31646	11444	15038	2951	6862	5640	2378	3020	1315	host	argH
gene-T4p121	0	4	195	7344	3797	1927	101263	81817	119703	254718	142627	324799	291308	145978	phage	ipII
gene-b3826	1703	2646	887	2709	1942	1489	467	393	151	356	164	127	180	71	host	yigL
gene-b3415	3707	4505	2703	9125	6738	4956	1888	2392	525	1268	736	367	493	192	host	gntT
gene-b0063	197	191	64	228	170	92	37	31	13	36	6	5	11	5	host	araB
gene-b3810	3896	3906	1736	4843	3059	2107	722	650	208	479	334	199	316	117	host	yigA
gene-b1781	1343	1729	858	2601	2159	1723	912	1015	202	598	269	105	175	51	host	yeaE
gene-b0286	52	43	20	63	50	30	9	19	5	18	7	1	6	2	host	paoA
gene-b4241	1456	1732	629	1707	1268	907	310	286	92	216	116	56	101	28	host	treR
gene-b1283	227	327	117	347	224	186	91	65	37	48	31	18	22	13	host	osmB
gene-b2916	5708	6640	2916	7617	5099	4116	865	892	294	812	514	292	403	117	host	argP
gene-b0278	0	0	0	1	0	0	0	0	0	0	1	0	0	0	host	yagL
gene-b2911	67393	76132	28625	97259	52773	47389	59796	44551	35586	65337	41815	42586	43859	13366	host	ssrS
gene-b0171	9448	7306	3819	7852	5312	4381	2505	2878	612	1637	820	348	486	177	host	pyrH
gene-b0068	652	1119	287	931	798	503	288	161	48	126	60	45	82	13	host	thiB
gene-T4p093	0	0	20	167	244	455	60653	68215	16683	43361	33076	1958	2399	1077	phage	nrdC.9
gene-T4p018	0	1	54	112	112	176	86344	70712	56727	134695	78527	46566	57856	21863	phage	dda.1
gene-b2886	83	122	39	148	123	71	23	13	2	24	7	8	14	1	host	ygfS
gene-b1451	3262	2636	1570	3288	2217	2209	3241	3495	667	1642	724	305	410	140	host	pqqU
gene-b1187	3581	5526	1895	5626	4912	3382	2082	1942	550	1235	648	339	451	147	host	fadR
gene-b0911	298803	281631	138193	236773	161743	161635	138364	173510	56772	120873	73425	29591	34789	12760	host	rpsA
gene-b3828	678	823	350	646	500	392	150	147	36	133	82	79	89	28	host	metR
gene-b1532	584	501	231	619	401	350	131	117	40	83	37	28	32	10	host	marB
gene-T4p199	0	1	25	966	447	147	591	195	4890	11477	2971	30118	30137	19951	phage	alt.-1
gene-b4117	1102	1061	493	2115	1689	973	388	394	135	325	142	84	115	37	host	adiA
gene-b0772	2651	3711	1624	3231	2707	2884	2513	2650	544	1309	631	257	373	116	host	ybhC
gene-b3873	146	103	67	220	166	114	28	23	9	40	16	16	14	4	host	yihM
gene-T4p056	0	0	44	932	1064	823	31331	19893	37028	88357	40969	42092	48715	19873	phage	46.2
gene-b4803	3	1	1	3	1	1	2	2	0	0	0	0	0	0	host	speFL
gene-b0261	2	1	1	3	4	1	0	1	0	0	0	1	0	0	host	mmuM
gene-b1631	1034	1126	441	1153	783	740	209	213	70	167	71	46	32	15	host	rsxG
gene-b0654	1063	1372	803	1804	865	805	243	226	61	162	102	65	81	34	host	gltJ
gene-b1600	66	91	54	247	215	173	79	67	20	30	29	10	16	2	host	mdtJ
gene-b0483	2120	2372	994	3648	2334	1596	344	393	114	323	206	101	144	48	host	ybaQ
gene-b0322	128	150	43	154	119	55	16	15	7	14	11	6	5	4	host	yahH
gene-b3376	191	187	83	333	220	142	47	25	11	42	21	7	22	3	host	yhfS
gene-b2457	118	143	59	137	126	80	50	43	19	42	39	6	15	3	host	eutM
gene-b2894	3611	3859	1529	4763	3358	2316	972	909	258	618	309	174	303	63	host	xerD
gene-T4p080	1	2	69	1291	1385	1390	90270	65162	95663	221988	124612	117324	146643	54828	phage	pin
gene-b3936	63076	60842	30848	80101	45221	43650	22020	30012	6631	17650	9943	2697	3579	1177	host	rpmE
gene-b4002	118	107	68	321	281	173	39	42	17	35	14	7	14	3	host	zraP
gene-b4267	56	73	25	110	51	48	26	18	7	15	13	41	4	2	host	idnD
gene-b2310	740	574	317	882	523	485	182	190	39	116	59	38	82	17	host	argT
gene-b2711	343	346	117	489	423	239	61	62	21	65	20	13	19	6	host	norW
gene-b1128	5866	7715	3210	8765	7013	4941	2002	2037	475	1310	730	339	554	159	host	roxA
gene-b3180	8501	10746	4220	14475	11526	8996	6349	6725	1479	3856	1804	629	893	285	host	yhbY
gene-b2496	6360	6312	3034	10781	7226	4675	1335	1131	406	1098	513	329	504	125	host	hda
gene-b3477	10717	14457	5359	12864	12028	11015	1678	1527	437	1285	930	610	1068	295	host	nikB
gene-b3389	11784	14188	6273	14668	11495	9867	4097	4046	921	2534	1343	716	1045	330	host	aroB
gene-b2362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	yfdS
gene-b0970	3828	5563	2169	6613	5246	3553	1967	1512	387	1030	480	329	468	125	host	yccA
gene-b1104	6433	7538	3148	8342	6252	4129	1160	1361	439	1114	650	290	438	149	host	ycfL
gene-b2028	6628	6529	3866	10184	7623	7461	1383	1992	380	1004	633	284	415	204	host	ugd
gene-b2035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	wbbH
gene-b2605	736	1144	403	1193	1114	798	780	746	174	515	202	71	108	24	host	yfiB
gene-b1930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	yedF
gene-b2539	61	47	21	68	35	32	6	9	5	9	7	1	3	1	host	hcaF
gene-b4761	1392	1901	805	2081	1486	1166	607	569	121	337	142	71	131	34	host	sroE
gene-b1695	80	109	39	131	73	53	29	37	10	13	11	7	5	2	host	ydiO
gene-b2530	13583	14647	5819	14396	10156	7423	2789	2719	776	1990	1039	777	1091	348	host	iscS
gene-b4040	3432	3266	1208	3880	2572	1752	687	548	157	418	219	182	257	83	host	ubiA
gene-b3207	697	712	361	1684	1042	666	148	139	38	116	53	29	50	12	host	yrbL
gene-b1484	226	222	101	292	220	153	119	125	28	83	54	18	19	3	host	ddpD
gene-b2600	6454	5285	2904	5846	4772	4367	846	803	205	670	370	214	388	182	host	tyrA
gene-b3929	17893	27309	10192	30203	21039	12821	3201	3021	872	2691	1560	717	1186	297	host	rraA
gene-b0892	4938	7015	2918	7796	5379	4210	1691	1780	456	1109	609	404	531	189	host	rarA
gene-b2943	1614	1862	792	2211	1572	1002	333	365	101	270	168	71	139	35	host	galP
gene-b0829	7972	10877	4083	12579	15166	5518	1519	858	374	1462	542	423	940	160	host	gsiA
gene-b1661	19835	22864	7432	28962	18544	10021	2208	1906	775	2095	1008	696	967	341	host	cfa
gene-b4831	1497	1644	597	1526	1141	774	272	310	78	220	113	68	84	36	host	allZ
gene-b3560	20436	25598	9625	23584	19061	13405	7536	8701	1927	4252	2649	1209	1798	608	host	glyQ
gene-b4062	450	520	225	721	483	292	62	86	31	68	51	20	36	10	host	soxS
gene-b3979	12102	22091	5221	17326	15208	10802	8429	8071	2432	5339	2377	1122	1454	343	host	thrT
gene-b1302	422	337	170	515	301	218	84	56	26	53	31	18	25	7	host	puuE
gene-b0482	2469	2045	1004	3543	2446	1448	384	317	121	389	153	117	170	46	host	ybaP
gene-b0704	9	16	6	27	18	13	7	7	2	8	1	2	3	0	host	ybfC
gene-b1901	111	137	51	230	167	93	46	31	5	25	12	7	13	6	host	araF
gene-b3330	94	86	34	150	122	76	13	16	6	8	7	5	4	2	host	gspI
gene-b2791	841	1022	418	915	804	659	429	471	110	235	120	63	102	31	host	truC
gene-T4p153	0	3	179	8697	4271	1514	5295	2173	10562	21575	8489	183075	166400	120864	phage	8
gene-b0173	2524	2796	1208	3266	2389	1886	768	758	190	478	268	186	243	88	host	dxr
gene-b4717	2084	2007	725	6216	2656	1175	1367	1001	394	1210	366	212	198	31	host	micL
gene-b3149	4119	4240	1782	5327	3869	2757	939	832	206	622	281	158	247	66	host	diaA
gene-b1850	7387	9163	3165	9307	7462	4517	3293	3015	965	2219	1524	535	756	236	host	eda
gene-b1102	769	677	328	1438	1041	661	189	189	39	137	66	27	54	15	host	fhuE
gene-b1945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	fliM
gene-b4839	192	323	128	348	226	256	123	104	25	85	27	19	20	8	host	asflhD
gene-b3891	7765	8780	3154	8383	5922	4207	1965	1807	477	1182	598	400	537	177	host	fdhE
gene-T4p234	1	8	367	5824	2886	1223	82866	33660	272569	589733	251207	506943	519339	238403	phage	gene-T4p234_gene_nrdA
gene-b4726	1	0	1	2	3	0	0	0	0	2	1	0	0	0	host	yabR
gene-b2044	70	65	19	108	67	42	26	20	5	17	3	3	5	1	host	wcaL
gene-b4170	7086	7017	3265	9648	7387	4917	1641	1445	422	1056	552	366	571	145	host	mutL
gene-b2309	12917	13160	6385	14623	8576	7426	3366	4483	1529	3061	2541	719	815	299	host	hisJ
gene-b1122	73	59	41	220	171	128	62	80	12	35	19	6	9	0	host	ymfA
gene-b0532	90	120	30	212	111	88	61	50	12	37	21	7	16	1	host	sfmD
gene-b1769	140	137	65	204	189	173	69	88	21	57	20	12	9	4	host	ydjE
gene-b3461	19761	27172	8488	30037	22300	13947	5475	4272	1271	3726	1741	1256	1827	492	host	rpoH
gene-b1244	24574	26208	13521	36038	19634	16301	3979	4956	1074	2686	1671	1053	1420	590	host	oppB
gene-b3800	198	202	140	606	531	299	297	268	37	109	25	19	30	4	host	aslB
gene-b1531	979	774	381	1017	685	539	265	216	62	120	77	52	69	17	host	marA
gene-b0183	3149	3517	1816	4778	4171	3010	1343	1300	280	693	343	250	332	90	host	rnhB
gene-b4411	479	690	361	1078	874	671	607	645	143	379	171	45	58	15	host	ecnB
gene-b0795	2811	2180	1131	3184	1908	1167	249	266	103	260	179	132	168	62	host	ybhG
gene-b2913	12816	14907	6586	12027	8365	8111	1865	1798	639	1549	1080	660	844	387	host	serA
gene-b1490	93	91	57	117	77	76	48	74	18	33	17	6	10	9	host	dosC
gene-b4175	19561	25506	11680	25647	20364	15792	7287	8738	1606	4159	2491	1265	1609	584	host	hflC
gene-T4p085	0	1	17	49	23	28	44583	30290	53506	128653	65684	16179	20763	6184	phage	nrdC.1
gene-b0388	5180	5982	2874	7603	5810	4193	812	753	245	671	337	198	322	82	host	aroL
gene-b2764	9573	22476	6913	12539	27310	9061	5871	3075	1201	4154	1390	843	1850	308	host	cysJ
gene-b3661	1733	2667	966	2575	2371	1382	490	503	136	442	212	84	144	36	host	nlpA
gene-b2603	1060	1064	562	2613	2104	1450	461	503	104	338	201	59	104	24	host	yfiR
gene-b2542	381	380	131	553	376	208	72	51	18	57	30	12	25	3	host	hcaD
gene-b1606	1012	1071	485	1564	1167	845	296	313	66	195	86	57	73	23	host	folM
gene-b2339	114	151	57	252	180	120	45	43	10	37	24	9	10	4	host	yfcV
gene-b0617	35	39	21	59	34	32	24	20	3	8	13	17	5	1	host	citD
gene-T4p161	0	1	77	4385	1874	732	2177	916	2269	4225	1302	88013	81038	50242	phage	15
gene-b3614	5036	4038	3114	5476	3877	4488	803	1128	292	706	515	240	358	153	host	yibQ
gene-b1114	9891	9429	4690	10756	8676	6401	2361	2663	541	1530	902	488	700	225	host	mfd
gene-b3150	4550	5906	2284	5881	4740	2862	1209	974	288	769	360	224	359	110	host	dolP
gene-b4082	103	155	55	176	157	72	27	31	12	24	11	6	10	1	host	mdtN
gene-b3230	119122	100674	44481	101873	75384	71018	73884	85572	26027	57264	33151	7912	10800	3202	host	rpsI
gene-b3544	5862	5098	2353	6331	3621	2923	854	1107	325	717	466	346	301	109	host	dppA
gene-T4p126	0	0	14	38	19	68	57394	47644	20149	43686	30201	1780	2208	984	phage	e.3
gene-b1124	1934	1687	850	1865	1355	1585	703	675	169	337	187	100	135	42	host	potC
gene-b3580	131	137	49	134	127	64	31	27	12	32	10	6	13	4	host	lyxK
gene-T4p116	0	0	90	1452	619	329	77056	62432	79845	183445	99034	122018	115120	62626	phage	vs.5
gene-b0786	6251	7946	3231	9522	6694	3828	1011	941	295	955	467	294	427	102	host	ybhL
gene-b3757	473	1025	409	991	557	835	685	451	68	239	101	119	167	34	host	gltU
gene-b0922	3290	3833	1419	4228	3117	2287	713	662	214	446	253	190	257	86	host	mukF
gene-b3502	349	405	177	429	291	210	82	74	16	59	39	15	26	3	host	arsB
gene-b1058	17	19	10	61	50	26	7	11	3	9	3	1	3	0	host	yceO
gene-b0572	22184	39360	9521	57552	43725	15463	7251	3564	1988	5611	1566	1784	3143	460	host	cusC
gene-b3482	765	1102	349	1310	1280	691	520	369	117	307	121	70	136	34	host	rhsB
gene-b0433	4646	4903	2531	7020	5713	4854	1571	1701	406	936	530	306	421	163	host	ampG
gene-b0732	1022	1232	463	1870	1157	785	248	203	83	163	77	52	66	22	host	mngB
gene-b4612	2	4	1	9	4	5	1	3	1	3	2	0	0	1	host	yrhD
gene-b0692	288	305	113	495	314	181	60	61	18	41	16	10	18	5	host	potE
gene-b0960	2920	3208	1506	4045	3137	2449	785	818	198	561	295	191	254	100	host	yccS
gene-b2274	0	0	0	0	0	0	0	0	0	0	0	1	0	0	host	yfbO
gene-T4p257	0	2	33	390	157	112	71982	57591	50369	113667	68443	18997	21289	9944	phage	arn
gene-b0952	2045	1765	1014	2123	1466	1116	581	565	116	378	202	97	130	41	host	pqiC
gene-b1098	1843	2027	842	2380	1811	1457	760	736	136	353	197	118	186	54	host	tmk
gene-b4378	659	696	251	733	650	386	171	180	58	124	76	44	74	17	host	yjjV
gene-b2540	48	51	17	48	44	31	9	8	4	5	5	1	3	3	host	hcaC
gene-b1119	2044	2485	1199	3463	3005	1631	650	721	168	448	251	118	198	46	host	nagK
gene-b1117	1086	1670	628	1310	1119	1093	345	321	95	244	136	75	133	50	host	lolD
gene-b3146	6773	9101	3367	12064	9938	6569	1914	1715	521	1510	779	512	777	213	host	rsmI
gene-b2479	9427	9503	4437	13718	9252	6772	828	1031	327	913	526	336	503	151	host	gcvR
gene-b3492	1370	1951	808	2328	1817	1460	872	761	172	500	250	122	232	63	host	yhiN
gene-b3165	58543	50325	25003	68071	41838	39767	24877	30587	8254	19282	11422	2863	3704	1270	host	rpsO
gene-b2382	1988	1735	980	2658	2187	1335	293	351	117	303	155	68	122	35	host	ypdC
gene-b2474	4389	4161	2190	5732	4059	3137	1005	1008	243	741	412	217	300	102	host	tmcA
gene-T4p261	0	4	35	954	1341	1569	93356	93065	38685	88649	61389	11706	15316	6685	phage	arn.4
gene-T4p146	0	1	5	315	144	75	210	112	285	731	243	9738	11458	6805	phage	repEA
gene-b1415	249	253	116	348	194	161	57	57	19	35	15	11	21	7	host	aldA
gene-b4401	52719	91705	28748	81997	67070	45999	7989	9481	2638	6799	4494	2156	3122	1060	host	arcA
gene-b0582	2333	2097	1038	2998	2335	1670	766	867	207	522	284	120	165	44	host	insL2
gene-b3027	12	16	9	27	22	18	5	4	2	2	2	0	1	1	host	ygiZ
gene-b3033	2487	2673	1240	3427	2338	1762	567	581	126	414	228	116	165	77	host	yqiB
gene-b2867	131	144	57	178	126	74	37	22	12	18	13	7	11	5	host	xdhB
gene-b0264	1809	1440	702	2863	2049	1260	527	587	149	357	229	84	127	32	host	insB2
gene-b1793	893	1009	462	1293	986	748	412	436	159	336	171	69	96	19	host	yoaF
gene-b4206	3598	4315	1691	5439	3633	2308	515	482	175	432	219	134	231	66	host	ytfB
gene-b3050	82	84	36	186	138	93	48	45	9	34	20	4	10	2	host	yqiJ
gene-T4p046	0	5	51	16573	16285	16613	98140	117065	32412	77790	57081	20460	30472	10861	phage	imm.1
gene-b2566	6158	9692	4351	7509	7090	6643	4735	4933	938	2480	1213	629	967	292	host	era
gene-b4194	66	105	33	87	62	53	21	20	2	13	9	1	5	1	host	ulaB
gene-b2832	3620	4373	2011	5235	4138	3467	1623	1870	343	791	444	248	328	106	host	ygdQ
gene-b3081	225	218	79	298	227	124	61	48	12	37	11	10	34	5	host	fadH
gene-b3068	1222	1413	508	1659	1014	605	296	188	72	189	89	64	70	17	host	mug
gene-b2649	1	1	1	3	6	1	0	0	0	0	0	0	0	0	host	ypjB
gene-b1954	0	0	0	0	0	0	0	0	1	0	0	0	0	0	host	dsrA
gene-b4013	839	1058	388	981	655	620	174	167	54	151	117	54	77	29	host	metA
gene-b1499	8	11	3	11	13	7	4	12	1	3	3	0	0	0	host	ydeO
