Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b0451	362.4563124465955	429.4847859522351	3453	4682	33.35274904905099	51.42300455572729	19.19874874143114	23.316687574936072	14.361181033631324	16.15245464844654	41.13061502387139	41.1792367300891	host	amtB	1.3402986123418694	0	1
gene-b4332	13.183568000843747	12.954083313217579	280	207	5.451328051953853	6.163562225839579	4.544082542350566	4.345530090460965	3.0163818899634562	3.261931230708182	4.169523803898262	5.024730506626697	host	yjiJ	0.6210739533587659	0	1
gene-b3058	17.40671652479091	14.246414665130022	586	402	22.450092945143286	18.85060271990353	15.39307961221254	17.414549690877152	6.513249390717552	7.349170363161808	4.7775793586334245	4.0825935366341914	host	folB	0.4458955361378765	0	1
gene-b4215	1.2485830418626391	1.8769574396823572	56	36	1.0550957519910682	1.169727137750577	1.0792196038082593	0.6810159096991064	0.5605665459224123	0.5502052678302958	0.43432539623940225	0.9028812629094847	host	ytfI	0.5407410347683349	0	1
gene-T7p22	1.285306072505658	1.4154105282850562	125	17	0.8206300293263864	4.453961024511813	11372.191373581863	12878.043281739136	15406.851190936974	14852.712604326287	6476.1391182464795	6493.0902300671005	phage	gene-T7p22	1.2204308898685805	0	0
gene-b2057	0.9915218273615075	1.5384897046576698	39	24	0.8206300293263864	1.0797481271543787	0.5112092860144386	0.6485865806658156	0.5872601909663366	0.23580225764155532	0.390892856615462	1.0206483841585479	host	wcaC	0.5414505741799849	0	1
gene-b1353	0.9915218273615075	0.9538636168877552	38	23	0.9964793213248978	0.8997901059619823	0.795214444911349	1.0053092000320143	0.4537919657467147	0.5109048915567033	0.3040277773675816	0.9028812629094847	host	sieB	0.3910862181150847	0	1
gene-b1411	5.471731565809801	6.246268200910139	128	109	3.9273008546334207	3.464191907953632	3.521663970321688	2.691634309763135	1.7083932828111612	1.061110159386999	1.346408728342147	1.7665068187359483	host	ynbD	0.5706583649865179	0	1
gene-b3128	4.6638248916633875	7.415520376449968	153	94	3.2825201173055456	3.824107950338425	3.0104546843072497	3.3077915613956597	1.628312347679388	2.043619566226813	1.8241666642054895	3.3759908091398123	host	garD	0.5627410748835658	0	1
gene-b2611	17.480162586076947	16.12337210481238	384	357	11.312971118570898	8.68297452253313	7.895343417334107	8.755918838988512	3.603642080929793	3.615634617170515	3.7351984076588596	3.964826415385128	host	ypjD	0.6008940958687069	0	1
gene-b0541	9.80504918168602	9.41555699250494	283	174	6.682273095943432	6.253541236435777	5.339296987261914	4.442818077560837	2.936300954831683	2.633125210330701	2.5625198378124736	3.690036465803981	host	insF3	0.5338495716621989	0	1
gene-b2785	150.52770260573405	144.49495306144834	3104	2498	88.39357744458505	92.45343338759368	74.80695885344618	78.15468297023078	32.99334527429055	30.732894245949378	33.095595193442456	33.87767521264718	host	rlmD	0.5924348405916494	0	1
gene-b2954	83.0307722838655	81.04763764136604	2595	2151	77.08060632601416	85.39008105579212	63.04914527511409	61.09685589871984	28.74905571230657	27.54956376778838	18.80628965716612	18.214648086521777	host	rdgB	0.4943178542533317	0	1
gene-b3863	290.03849601856245	327.82138626845625	7573	5829	190.503399665054	202.7227108732346	130.24476587012308	148.00745770793912	75.03583621847147	72.70569610614622	82.21779750811885	76.27383886230994	host	polA	0.5974200373916883	0	1
gene-b1253	61.95175269477271	43.57002843590521	1706	1446	66.99858025143284	58.12644084514406	59.413879241233644	57.756635008290885	20.10031471807507	17.920971580758206	11.72678569846386	9.303602578675994	host	yciA	0.4830834187778389	0	1
gene-b2902	44.43486707805275	71.72439003114056	2082	1647	35.990488429028666	42.87499854908846	11.587410482993942	6.810159096991065	12.09222120489775	12.379618526181655	5.211904754872827	7.34081722452494	host	ygfF	0.8737911938805295	0	1
gene-b3747	100.98833426830168	84.95540149119653	2746	2259	79.1907978299963	83.32056381207956	52.76815852304594	55.06500069852775	18.979181626230243	17.252865184107133	16.330634898601524	17.58655677319344	host	kup	0.5950239355818026	0	1
gene-b1982	40.28516461539162	45.354676493308105	806	793	18.464175659843693	17.950812613941547	11.81461461011147	13.65274752301542	7.100509581683888	6.366660956321994	10.250079351249894	11.423410761159131	host	amn	0.7352468980532185	0	1
gene-b0929	3607.3767461250222	4124.137041893536	108799	66722	3327.8892346411617	3287.5181206479965	2782.45534274481	2690.11013129857	1157.9436283603964	1094.7119811009206	876.5555146903616	864.7247156247881	host	ompF	0.5272688148387923	0	1
gene-b1801	1.2485830418626391	1.9692668219618172	50	16	0.8206300293263864	0.8098110953657841	1.2496226991464054	0.6810159096991064	0.5605665459224123	0.47160451528311065	0.6949206339830436	1.09915979832459	host	yeaV	0.5755667111083371	0	1
