Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol
gene-AUO97_RS04830	26	19	9	13	5	1	host	gene-AUO97_RS04830
gene-AUO97_RS08060	0	0	0	0	0	0	host	gene-AUO97_RS08060
gene-AUO97_RS13755	7	6	1	1	0	0	host	gene-AUO97_RS13755
gene-AUO97_RS05565	948	645	266	237	122	81	host	gene-AUO97_RS05565
gene-AUO97_RS15620	4	1	4	2	2	3	host	gene-AUO97_RS15620
gene-AUO97_RS04025	109	73	35	53	16	16	host	gene-AUO97_RS04025
gene-AUO97_RS07125	26	24	11	9	2	6	host	gene-AUO97_RS07125
gene-AUO97_RS01130	224	181	55	45	22	21	host	gene-AUO97_RS01130
gene-AUO97_RS04520	505	378	124	145	62	65	host	gene-AUO97_RS04520
gene-AUO97_RS10025	64	42	22	24	14	9	host	gene-AUO97_RS10025
gene-AUO97_RS11435	184630	132024	105186	136868	91947	73845	host	rnpB
gene-AUO97_RS16775	7	10	5	7	4	5	host	gene-AUO97_RS16775
gene-AUO97_RS01730	0	0	0	0	0	0	host	gene-AUO97_RS01730
gene-AUO97_RS15070	27	28	15	12	4	5	host	gene-AUO97_RS15070
gene-AUO97_RS16085	16	13	15	15	5	4	host	gene-AUO97_RS16085
gene-AUO97_RS14790	9	9	1	0	0	0	host	arsB
gene-AUO97_RS15570	1	3	1	2	2	1	host	gene-AUO97_RS15570
gene-AUO97_RS08865	12961	11147	5728	7461	4188	3356	host	rplL
gene-AUO97_RS19170	0	0	0	0	0	0	host	gene-AUO97_RS19170
gene-AUO97_RS16510	13	7	10	7	7	7	host	gene-AUO97_RS16510
gene-AUO97_RS06185	20	20	12	17	7	2	host	gene-AUO97_RS06185
gene-AUO97_RS08070	0	0	0	0	0	0	host	gene-AUO97_RS08070
gene-AUO97_RS09925	998	692	249	250	153	88	host	rlmN
gene-AUO97_RS17795	145	112	40	32	17	16	host	ispF
gene-AUO97_RS06550	50	52	25	41	11	12	host	gene-AUO97_RS06550
gene-AUO97_RS14240	40	38	9	15	7	3	host	gene-AUO97_RS14240
gene-AUO97_RS01715	0	0	0	0	0	0	host	gene-AUO97_RS01715
gene-AUO97_RS15880	995	753	255	254	167	98	host	gene-AUO97_RS15880
gene-AUO97_RS11265	105	85	42	28	12	5	host	gene-AUO97_RS11265
gene-AUO97_RS01245	48	44	10	15	5	4	host	gene-AUO97_RS01245
gene-AUO97_RS14680	100	67	23	25	8	3	host	gene-AUO97_RS14680
gene-AUO97_RS09335	372	301	173	195	115	80	host	gene-AUO97_RS09335
gene-AUO97_RS00090	638	403	234	326	79	85	host	gene-AUO97_RS00090
gene-AUO97_RS00505	325	262	73	75	36	32	host	mltB
gene-AUO97_RS08495	690	561	107	132	78	42	host	gene-AUO97_RS08495
