Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b1441	49	28	107	53	39	29	36	4	40	1	135	3	host	ydcT
gene-b2897	1887	163	859	244	212	91	86	20	92	19	82	15	host	sdhE
gene-b3089	777	1283	853	1738	249	658	194	148	216	97	362	100	host	sstT
gene-b3583	107	26	87	20	71	12	63	9	125	10	233	12	host	sgbE
gene-T4p016	5	0	172	1	28881	429	26180	1826	13499	1205	9157	500	phage	dexA.2
gene-b0633	3898	752	3272	1081	454	290	242	96	311	58	265	49	host	rlpA
gene-b0660	4252	838	3289	1128	457	419	174	101	196	45	204	63	host	ybeZ
gene-b2536	535	85	368	137	134	51	89	13	110	9	223	10	host	hcaT
gene-b2075	350	87	380	151	132	65	126	20	152	9	368	11	host	mdtB
gene-b0188	405	211	384	271	135	105	142	36	182	36	254	30	host	tilS
gene-b0621	165	8	125	15	72	4	85	2	93	2	200	0	host	dcuC
gene-b4567	682	102	171	60	66	25	74	15	37	3	65	5	host	yjjZ
gene-b2049	77	12	68	7	48	9	70	7	64	4	223	2	host	cpsB
gene-b3097	1853	740	2221	964	321	363	75	87	106	36	104	16	host	yqjC
gene-b2148	64	16	62	23	56	6	53	8	53	7	140	9	host	mglC
gene-b0180	5339	1452	7243	2255	1598	1228	426	325	505	175	251	152	host	fabZ
gene-b2618	378	127	285	107	67	35	27	18	50	13	50	10	host	yfjF
gene-b2806	717	360	876	632	260	228	175	84	181	57	227	62	host	rlmM
gene-b2603	1284	44	569	115	147	44	83	16	88	16	149	12	host	yfiR
gene-b3070	366	140	493	182	142	80	74	25	77	21	108	11	host	nfeF
gene-b3359	566	337	365	556	152	188	130	69	177	45	320	41	host	argD
gene-b1440	105	84	180	106	63	54	40	16	65	4	101	4	host	ydcS
gene-b3696	451	72	179	33	87	13	83	2	63	3	133	2	host	yidX
gene-b3310	76443	13743	86293	19601	20681	13406	7236	3631	7871	2000	3650	1888	host	rplN
gene-b1583	879	193	583	128	102	70	43	21	52	16	54	11	host	ynfB
gene-b0559	41	6	35	4	14	3	11	1	14	0	32	0	host	ybcW
gene-b1753	96	26	109	21	18	9	23	3	16	1	42	2	host	ynjA
gene-b3609	3815	2155	6885	2541	1449	1489	269	320	402	131	186	171	host	secB
gene-b3494	130	216	97	86	28	15	26	10	23	9	81	10	host	uspB
gene-b3211	91	10	82	9	71	4	60	2	74	2	193	1	host	yhcC
gene-T4t008	35	2	15984	1935	75877	7522	119299	13847	218279	17380	189394	20067	phage	gene-T4t008
gene-b0802	224	34	169	41	56	13	20	3	22	1	60	2	host	ybiJ
gene-b1835	991	95	669	164	139	48	83	20	80	8	175	11	host	rsmF
gene-b1145	414	154	168	32	59	8	30	11	42	7	81	5	host	ymfK
gene-b1983	1434	203	2012	193	784	156	94	29	89	28	86	24	host	yeeN
gene-b4362	446	81	430	137	93	51	60	15	48	4	105	12	host	dnaT
gene-b1094	48823	12256	36772	12740	13088	7805	2881	1940	2137	791	1164	897	host	acpP
gene-b2860	255	41	226	42	56	23	68	11	75	6	156	4	host	insD4
gene-b4203	33877	5616	63809	7775	10884	6050	1751	1399	3372	928	1106	905	host	rplI
gene-b4417	142	15	108	18	40	7	12	2	11	4	30	0	host	rybB
gene-b4637	5922	637	2026	542	440	211	120	44	135	26	92	31	host	uof
gene-b3468	1346	87	548	72	132	23	104	11	131	6	237	2	host	yhhN
gene-b1060	1266	339	1081	417	565	304	343	118	376	69	334	111	host	bssS
gene-b2830	3325	538	1536	613	247	150	98	53	92	34	149	44	host	rppH
gene-b2976	490	567	657	898	205	393	161	103	160	34	334	30	host	glcB
gene-b2466	263	53	174	106	144	49	142	14	72	9	196	8	host	ypfG
gene-b1476	57	19	61	18	30	12	24	5	42	3	52	0	host	fdnI
gene-b4089	681	102	376	95	94	46	94	13	90	3	218	8	host	alsR
gene-b1139	261	18	341	21	109	19	46	6	32	1	63	6	host	lit
gene-b3021	246	81	149	35	63	18	31	6	52	3	60	2	host	mqsA
gene-b4200	47776	9316	76321	13851	10539	9174	1929	2130	3272	1305	1160	1213	host	rpsF
gene-b2638	166	38	70	16	33	7	17	4	21	2	47	0	host	yfjU
gene-b0675	1873	560	1749	534	232	155	89	40	89	20	92	25	host	umpH
gene-b0451	1375	8256	1338	5875	712	1472	478	488	438	257	467	239	host	amtB
gene-b3137	51	6	100	9	66	7	50	5	67	2	141	6	host	kbaY
gene-b1454	72	6	31	1	15	0	18	0	14	1	55	0	host	yncG
gene-b3347	7289	1456	6928	1593	2040	1093	359	285	490	124	323	149	host	fkpA
gene-b1199	579	622	833	694	142	190	82	71	89	66	103	62	host	dhaL
gene-b1453	577	87	527	121	133	47	80	10	94	10	188	6	host	ansP
gene-b1248	644	214	500	352	228	178	91	27	43	17	57	13	host	yciU
gene-b0552	2301	283	1679	313	276	109	169	28	209	24	299	26	host	insH2
gene-b2937	1864	937	2054	1049	359	544	159	126	183	96	207	141	host	speB
gene-b3500	1512	1466	2258	1213	309	454	195	122	215	80	319	88	host	gor
gene-T4p227	29	0	62751	2168	106928	6876	42247	3393	41504	2436	28868	2562	phage	alc
gene-T4p047	19	0	2283	12	62671	643	453239	24373	313217	31883	194433	21103	phage	43
gene-b1831	11364	2366	11525	3686	2217	1564	868	363	597	164	400	211	host	proQ
gene-b1078	100	59	104	85	45	42	33	9	45	2	145	9	host	flgG
gene-b0386	7449	370	976	289	174	100	83	29	124	23	158	21	host	proC
gene-b0925	1608	486	1910	681	292	193	159	49	178	22	279	23	host	ldtD
gene-b2597	1866	593	645	254	301	103	188	50	123	32	139	42	host	raiA
gene-b0566	5383	12	52	2	31	5	36	2	15	0	41	1	host	envY
gene-b1803	77	14	65	18	45	5	32	2	40	1	96	1	host	yeaX
gene-T4p174	31	3	34205	10	48691	30	58557	172	1004970	59092	716237	80885	phage	22
gene-b3087	511	155	417	140	123	47	73	12	89	10	238	9	host	ygjR
gene-b2110	16	0	33	0	12	1	20	1	25	1	62	1	host	yehC
gene-b2143	166	103	122	127	47	39	42	16	43	6	100	5	host	cdd
gene-b3461	3148	1480	3043	1232	481	402	213	208	497	129	302	102	host	rpoH
gene-b1842	1119	67	230	71	93	43	51	9	33	4	50	5	host	holE
gene-b1007	75	50	125	59	45	37	27	10	44	7	61	2	host	rutF
gene-b1182	47	0	50	3	40	2	16	1	36	1	83	0	host	hlyE
gene-b4807	23	5	47	4	17	4	27	2	16	0	66	1	host	malH
gene-b4156	174	26	304	91	130	34	114	16	110	7	260	6	host	yjeM
gene-b3358	1328	234	1212	431	252	126	205	43	222	33	391	27	host	yhfK
gene-T4p122	69	5	93262	3644	281895	13114	227412	38726	496866	59773	307171	47793	phage	ipIII
gene-b4093	155	52	140	56	37	15	38	10	28	5	81	2	host	phnO
gene-b0727	8433	8148	14055	10704	4180	6226	1044	1312	1541	761	725	807	host	sucB
gene-b3101	79	25	114	52	38	12	35	4	34	2	114	2	host	yqjF
gene-b1854	2003	916	2668	1138	415	457	146	116	272	74	177	97	host	pykA
gene-T4p148	0	0	872	0	1530	4	4613	77	28006	3989	17973	3168	phage	segC
gene-b2782	280	168	398	297	63	96	35	19	30	12	73	11	host	mazF
gene-b0531	29	1	65	9	26	2	25	0	32	4	78	1	host	sfmC
gene-b3561	236	35	155	30	87	2	68	9	97	3	277	2	host	wecH
gene-b1343	724	185	667	366	129	143	68	34	85	21	132	17	host	dbpA
gene-b1187	1724	365	1526	504	291	169	97	45	137	41	141	55	host	fadR
gene-b1189	2689	1335	2686	1272	316	440	180	109	246	79	238	136	host	dadA
gene-T4p056	3	1	6718	202	19801	741	58528	2945	75917	4787	78595	5312	phage	46.2
gene-b0687	2212	640	1573	663	208	205	74	59	103	48	78	42	host	seqA
gene-T4p112	13	0	30186	1397	54290	5420	29993	2555	31268	2275	39552	2978	phage	vs.1
gene-b0579	304	22	142	43	49	12	24	8	21	4	55	5	host	ybdF
gene-b1591	166	107	160	131	35	57	35	9	34	12	56	7	host	dmsD
gene-b0589	778	70	836	269	134	60	77	10	71	3	149	8	host	fepG
gene-b1092	3908	3088	4687	4311	832	1941	287	505	297	315	198	270	host	fabD
gene-b3255	4202	2250	5500	3212	551	1260	203	334	322	192	168	232	host	accB
gene-T4p178	13	1	795	4	51439	2034	77785	15754	29935	5520	20847	3004	phage	gene-T4p178_gene_rnlB
gene-b2785	1208	472	501	524	191	161	153	48	141	21	244	15	host	rlmD
gene-b4740	218	34	167	60	32	13	22	3	29	0	67	2	host	ymgM
gene-b1211	1325	361	1859	716	183	228	92	65	96	39	132	39	host	prfA
