"Geneid","2.5_R1","2.5_R2","5_R1","5_R2","10_R1","10_R2","20_R1","20_R2","30_R1","30_R2"
"gene-T4p262",490237.925545184,140392.520467065,41398.1352402167,14826.1816264999,10879.4911051823,4781.14371191114,1666.15531708255,2119.68856703089,3626.0814301361,3671.13735982071
"gene-T4p151",2022.3578402389,3908.9623853521,178.545182373019,1593.14702658338,870.575580484271,3834.77744901259,18560.8245347703,30137.5460581724,54685.2280544849,54672.8496933911
"gene-T4p072",827.328207370458,893.717877350981,1661.01124207626,3549.90792054669,2108.84767943395,6000.31888310833,4539.51873398755,5186.80844983991,2352.05281954774,3611.52403035834
"gene-T4p090",143863.182726085,58875.8337870868,38933.6706774619,23434.8099145559,5104.49284457859,5528.78328567419,1191.59765025579,1712.23479473995,1286.27888569017,2153.30571876198
"gene-T4p137",2849.68604760936,3078.69203340374,1774.63090358637,3068.64099401702,21337.2126744779,12939.618531806,76361.1157969593,38304.8052280032,98381.9593426452,38910.0416484792
"gene-T4p057",14156.5048816723,5386.10008613187,4206.63270590975,5561.11608593539,36310.0311984589,19818.6979716747,10142.6294317842,9946.99115750664,11209.0017181572,13634.9935478393
"gene-T4p129",275684.143767112,132228.112725607,45599.3574860545,25188.1384660293,17892.7614647357,12412.5212699995,4298.07711402306,5331.68529441389,5145.11554276068,5304.98416730789
"gene-T4p248",30978.8450982049,15109.9290378757,8142.74240822403,10415.9526410424,15443.2537755471,13848.4891929809,3758.99625565406,3533.17663520389,2805.31299831475,2644.06191585119
"gene-T4p195",643.477494621468,1435.99594602651,45.988910611232,555.037110202225,86.5168278742133,738.322484849891,2800.51465226054,6533.88639553425,23410.2757195611,16915.3324145178
"gene-T4p045",178519.04207927,48883.3442199662,17235.0205590682,7548.93810986609,4871.97886966664,6340.96074361617,2575.7241785005,2205.96243150093,3356.57537789625,2073.21912463576
"gene-T4p240",173463.147478673,58023.2576644891,11870.5493977698,10387.419742584,3136.23501044023,2654.00686382329,1190.55695361801,1381.66655115198,2143.79814281695,2588.26223372816
"gene-T4p196",14340.3555944213,3017.72292696216,495.057096579733,1080.09661822662,448.806044597482,782.749091740674,3015.93885628059,3919.08664752408,39335.6333519155,11728.1698781675
"gene-T4p186",827.328207370458,561.114052779429,892.725911865093,1004.33996693987,2503.58070661005,2085.09632494311,6791.5862581391,5116.93946681548,7166.41093455951,5123.13340470551
"gene-T4p221",919.253563744954,1298.6915355849,2588.90514440877,2954.32881221842,2427.87848222011,2993.96698611798,2035.60262349373,1528.5198874664,2486.80584566766,2223.75783539932
"gene-T4p205",40998.7089430249,25763.6607838018,21420.0114246903,14285.3206715445,30318.7408681696,6027.58841163464,3070.05508144504,2525.46232134246,8513.94119575874,3246.01604062441
